keyResp.keys,keyResp.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,correctMouseResp,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate
,0,0.265740741,-0.250925926,1,0,0,5.2502,plus_button,1,3.7502,,0,0,0,4,1,1.5,images/target_plus.jpg,t,001,2023-07-04_11h42.20.968,choiceRTT,2021.2.3,Win32,69.33370311
,0,0.037037037,-0.251851852,1,0,0,2.8457,square_button,1,1.7457,,0,1,1,5,1,1.1,images/target_square.jpg,t,001,2023-07-04_11h42.20.968,choiceRTT,2021.2.3,Win32,69.33370311
,0,-0.210185185,-0.261111111,1,0,0,2.7577,cross_button,1,1.4577,,0,2,2,3,1,1.3,images/target_cross.jpg,t,001,2023-07-04_11h42.20.968,choiceRTT,2021.2.3,Win32,69.33370311
,0,-0.013888889,-0.253703704,1,0,0,1.8404,square_button,0,0.7404,,0,3,3,7,1,1.1,images/target_plus.jpg,t,001,2023-07-04_11h42.20.968,choiceRTT,2021.2.3,Win32,69.33370311
