keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,PracticeLoop.order
v,1,2.9541,,,,,,,,1.6541,space,2.7983,0,0,0,8,1,1.3,images/target_square.jpg,russellrichietest,001,2023-07-03_16h51.06.931,choiceRTT,2021.2.3,Win32,59.87665409,
v,1,4.2401,,,,,,,,3.1401,,,0,1,1,5,1,1.1,images/target_square.jpg,russellrichietest,001,2023-07-03_16h51.06.931,choiceRTT,2021.2.3,Win32,59.87665409,8
