participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,keyResp.rt,keyResp.duration,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,moveOnKeys.duration,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,correctMouseResp,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
,001,2023-11-16_17h43.29.010,choiceRTT,2023.1.3,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,001,2023-11-16_17h43.29.010,choiceRTT,2023.1.3,MacIntel,62.5,b,0,2.936,,,,,,,,,1.836,space,3.871,,0,0,0,5,1,1.1,images/target_square.jpg,,,,,,,,,,,,
,001,2023-11-16_17h43.29.010,choiceRTT,2023.1.3,MacIntel,62.5,,0,,,-0.200622084,-0.241835148,1,0,0,2.146,cross_button,0.646,,,,0,1,1,4,1,1.5,images/target_plus.jpg,0,,,,,,,,,,,
,001,2023-11-16_17h43.29.010,choiceRTT,2023.1.3,MacIntel,62.5,,0,,,-0.236391913,-0.241835148,1,0,0,2.199,cross_button,0.699,,,,0,2,2,2,1,1.5,images/target_square.jpg,0,,,,,,,,,,,
,001,2023-11-16_17h43.29.010,choiceRTT,2023.1.3,MacIntel,62.5,,0,,,-0.234836703,-0.244945568,1,0,0,2.54,cross_button,1.44,,,,0,3,3,7,1,1.1,images/target_plus.jpg,0,,,,,,,,,,,
,001,2023-11-16_17h43.29.010,choiceRTT,2023.1.3,MacIntel,62.5,,0,,,-0.038102644,-0.271384137,1,0,0,2.26,square_button,0.96,,,,0,4,4,8,1,1.3,images/target_square.jpg,1,,,,,,,,,,,
,001,2023-11-16_17h43.29.010,choiceRTT,2023.1.3,MacIntel,62.5,,0,,,-0.227060653,-0.258942457,1,0,0,2.827,cross_button,1.327,,,,0,5,5,6,1,1.5,images/target_cross.jpg,1,,,,,,,,,,,
,001,2023-11-16_17h43.29.010,choiceRTT,2023.1.3,MacIntel,62.5,,0,,,-0.226283048,-0.246500778,1,0,0,2.033,cross_button,0.733,v,2.86,,0,6,6,1,1,1.3,images/target_plus.jpg,0,,,,,,,,,,,
,001,2023-11-16_17h43.29.010,choiceRTT,2023.1.3,MacIntel,62.5,c,1,2.196,,,,,,,,,1.096,,,,0,7,7,0,1,1.1,images/target_cross.jpg,,,,,,,,,,,,
,001,2023-11-16_17h43.29.010,choiceRTT,2023.1.3,MacIntel,62.5,c,1,2.015,,,,,,,,,0.715,,,,0,8,8,3,1,1.3,images/target_cross.jpg,,,,,,,,,,,,
,001,2023-11-16_17h43.29.010,choiceRTT,2023.1.3,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,,-0.017107309,-0.280715397,1,0,0,,,,,
,001,2023-11-16_17h43.29.010,choiceRTT,2023.1.3,MacIntel,62.5,v,1,2.151,,,,,,,,,1.051,,,,,,,,,1.1,images/target_square.jpg,,,,,,,,0,0,0,5,1
,001,2023-11-16_17h43.29.010,choiceRTT,2023.1.3,MacIntel,62.5,c,1,1.846,,,,,,,,,0.746,,,,,,,,,1.1,images/target_cross.jpg,,,,,,,,0,1,1,0,1
,001,2023-11-16_17h43.29.010,choiceRTT,2023.1.3,MacIntel,62.5,v,1,2.048,,,,,,,,,0.748,,,,,,,,,1.3,images/target_square.jpg,,,,,,,,0,2,2,8,1
,001,2023-11-16_17h43.29.010,choiceRTT,2023.1.3,MacIntel,62.5,b,0,2.34,,,,,,,,,1.04,,,,,,,,,1.3,images/target_cross.jpg,,,,,,,,0,3,3,3,1
,001,2023-11-16_17h43.29.010,choiceRTT,2023.1.3,MacIntel,62.5,b,1,1.842,,,,,,,,,0.742,,,,,,,,,1.1,images/target_plus.jpg,,,,,,,,0,4,4,7,1
,001,2023-11-16_17h43.29.010,choiceRTT,2023.1.3,MacIntel,62.5,b,0,2.731,,,,,,,,,1.231,,,,,,,,,1.5,images/target_cross.jpg,,,,,,,,0,5,5,6,1
,001,2023-11-16_17h43.29.010,choiceRTT,2023.1.3,MacIntel,62.5,c,0,2.287,,,,,,,,,0.787,,,,,,,,,1.5,images/target_plus.jpg,,,,,,,,0,6,6,4,1
