response.keys,response.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.clicked_name,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,response.rt,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order
,0,-0.351388889,-0.008333333,1,0,0,targImage,1,0,8,0,1,7,1,-0.375,c,1,001,2020-07-08_13h47.35.662,choiceRTT,3.1.3,60,,,,,,,
,0,0.416666667,0.018055556,1,0,0,targImage,1,0,8,3,1,7,1,0.375,n,1,001,2020-07-08_13h47.35.662,choiceRTT,3.1.3,60,,,,,,,
,0,-0.084722222,-0.030555556,1,0,0,targImage,1,0,8,5,1,7,1,-0.125,v,1,001,2020-07-08_13h47.35.662,choiceRTT,3.1.3,60,,,,,,,
,0,0.115277778,0.027777778,1,0,0,targImage,1,0,8,2,1,7,1,0.125,b,1,001,2020-07-08_13h47.35.662,choiceRTT,3.1.3,60,,,,,,,
,0,-0.084722222,-0.005555556,1,0,0,targImage,1,0,8,1,1,7,1,-0.125,v,1,001,2020-07-08_13h47.35.662,choiceRTT,3.1.3,60,,,,,,,
b,0,-0.086111111,-0.006944444,0,0,0,,1,0,8,7,1,7,1,0.375,n,1,001,2020-07-08_13h47.35.662,choiceRTT,3.1.3,60,0.628000021,,,,,,
,0,-0.365277778,0.001388889,1,0,0,targImage,1,0,8,4,1,7,1,-0.375,c,1,001,2020-07-08_13h47.35.662,choiceRTT,3.1.3,60,,,,,,,
,0,0.134722222,0.002777778,1,0,0,targImage,1,0,8,6,1,7,1,0.125,b,1,001,2020-07-08_13h47.35.662,choiceRTT,3.1.3,60,,,,,,,
,0,0.130555556,-0.045833333,1,0,0,targImage,,,,,,,1.8888,0.125,b,1,001,2020-07-08_13h47.35.662,choiceRTT,3.1.3,60,,1,0,40,18,1,39
,0,0.130555556,-0.048611111,1,0,0,targImage,,,,,,,1.4444,0.125,b,1,001,2020-07-08_13h47.35.662,choiceRTT,3.1.3,60,,1,0,40,10,1,39
,0,-0.323611111,0.0125,1,0,0,targImage,,,,,,,1.4444,-0.375,c,1,001,2020-07-08_13h47.35.662,choiceRTT,3.1.3,60,,1,0,40,8,1,39
,0,0.429166667,-0.036111111,1,0,0,targImage,,,,,,,1.6666,0.375,n,1,001,2020-07-08_13h47.35.662,choiceRTT,3.1.3,60,,1,0,40,15,1,39
,0,0.109722222,0.018055556,1,0,0,targImage,,,,,,,1.6666,0.125,b,1,001,2020-07-08_13h47.35.662,choiceRTT,3.1.3,60,,1,0,40,14,1,39
,0,-0.066666667,-0.0375,1,0,0,targImage,,,,,,,2.3332,-0.125,v,1,001,2020-07-08_13h47.35.662,choiceRTT,3.1.3,60,,1,0,40,25,1,39
,0,-0.376388889,-0.013888889,1,0,0,targImage,,,,,,,2.3332,-0.375,c,1,001,2020-07-08_13h47.35.662,choiceRTT,3.1.3,60,,1,0,40,24,1,39
,0,-0.054166667,-0.030555556,1,0,0,targImage,,,,,,,1.6666,-0.125,v,1,001,2020-07-08_13h47.35.662,choiceRTT,3.1.3,60,,1,0,40,13,1,39
,0,-0.093055556,-0.020833333,1,0,0,targImage,,,,,,,2.111,-0.125,v,1,001,2020-07-08_13h47.35.662,choiceRTT,3.1.3,60,,1,0,40,21,1,39
,0,-0.376388889,-0.026388889,1,0,0,targImage,,,,,,,1.2222,-0.375,c,1,001,2020-07-08_13h47.35.662,choiceRTT,3.1.3,60,,1,0,40,4,1,39
,0,-0.323611111,-0.008333333,1,0,0,targImage,,,,,,,1.6666,-0.375,c,1,001,2020-07-08_13h47.35.662,choiceRTT,3.1.3,60,,1,0,40,12,1,39
,0,-0.376388889,0.029166667,1,0,0,targImage,,,,,,,2.7776,-0.375,c,1,001,2020-07-08_13h47.35.662,choiceRTT,3.1.3,60,,1,0,40,32,1,39
,0,0.369444444,-0.023611111,1,0,0,targImage,,,,,,,2.5554,0.375,n,1,001,2020-07-08_13h47.35.662,choiceRTT,3.1.3,60,,1,0,40,31,1,39
,0,-0.051388889,-0.015277778,1,0,0,targImage,,,,,,,2.7776,-0.125,v,1,001,2020-07-08_13h47.35.662,choiceRTT,3.1.3,60,,1,0,40,33,1,39
,0,0.048611111,-0.0125,1,0,0,targImage,,,,,,,2.5554,0.125,b,1,001,2020-07-08_13h47.35.662,choiceRTT,3.1.3,60,,1,0,40,30,1,39
,0,0.340277778,-0.016666667,1,0,0,targImage,,,,,,,2.7776,0.375,n,1,001,2020-07-08_13h47.35.662,choiceRTT,3.1.3,60,,1,0,40,35,1,39
,0,0.315277778,0.0125,1,0,0,targImage,,,,,,,1.8888,0.375,n,1,001,2020-07-08_13h47.35.662,choiceRTT,3.1.3,60,,1,0,40,19,1,39
,0,0.438888889,0.002777778,1,0,0,targImage,,,,,,,1.2222,0.375,n,1,001,2020-07-08_13h47.35.662,choiceRTT,3.1.3,60,,1,0,40,7,1,39
,0,-0.308333333,0.026388889,1,0,0,targImage,,,,,,,2.5554,-0.375,c,1,001,2020-07-08_13h47.35.662,choiceRTT,3.1.3,60,,1,0,40,28,1,39
,0,-0.076388889,0.006944444,1,0,0,targImage,,,,,,,1,-0.125,v,1,001,2020-07-08_13h47.35.662,choiceRTT,3.1.3,60,,1,0,40,1,1,39
,0,-0.309722222,0.022222222,1,0,0,targImage,,,,,,,2.111,-0.375,c,1,001,2020-07-08_13h47.35.662,choiceRTT,3.1.3,60,,1,0,40,20,1,39
,0,-0.309722222,0.011111111,1,0,0,targImage,,,,,,,1.8888,-0.375,c,1,001,2020-07-08_13h47.35.662,choiceRTT,3.1.3,60,,1,0,40,16,1,39
,0,0.4125,0.005555556,1,0,0,targImage,,,,,,,2.3332,0.375,n,1,001,2020-07-08_13h47.35.662,choiceRTT,3.1.3,60,,1,0,40,27,1,39
