response.keys,response.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.clicked_name,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,response.rt,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order
,0,0.175,0.023148148,1,0,0,targImage,1,0,8,2,1,7,1,0.125,b,,001,2021-08-09_10h27.20.942,choiceRTT,3.1.3,60,,,,,,,
,0,0.302777778,0.014814815,1,0,0,targImage,1,0,8,7,1,7,1,0.375,n,,001,2021-08-09_10h27.20.942,choiceRTT,3.1.3,60,,,,,,,
,0,0.303703704,0.012962963,1,0,0,targImage,1,0,8,3,1,7,1,0.375,n,,001,2021-08-09_10h27.20.942,choiceRTT,3.1.3,60,,,,,,,
n,0,0.303703704,0.012962963,0,0,0,,1,0,8,0,1,7,1,-0.375,c,,001,2021-08-09_10h27.20.942,choiceRTT,3.1.3,60,1.682999849,,,,,,
n,0,0.303703704,0.012962963,0,0,0,,1,0,8,6,1,7,1,0.125,b,,001,2021-08-09_10h27.20.942,choiceRTT,3.1.3,60,0.68200016,,,,,,
c,0,0.303703704,0.012962963,0,0,0,,1,0,8,5,1,7,1,-0.125,v,,001,2021-08-09_10h27.20.942,choiceRTT,3.1.3,60,0.382000208,,,,,,
c,0,0.303703704,0.012962963,0,0,0,,1,0,8,1,1,7,1,-0.125,v,,001,2021-08-09_10h27.20.942,choiceRTT,3.1.3,60,0.332000017,,,,,,
c,1,0.303703704,0.012962963,0,0,0,,1,0,8,4,1,7,1,-0.375,c,,001,2021-08-09_10h27.20.942,choiceRTT,3.1.3,60,0.183000088,,,,,,
c,0,0.303703704,0.012962963,0,0,0,,,,,,,,1,0.375,n,,001,2021-08-09_10h27.20.942,choiceRTT,3.1.3,60,0.398000002,1,0,40,3,1,39
c,0,0.303703704,0.012962963,0,0,0,,,,,,,,1,0.125,b,,001,2021-08-09_10h27.20.942,choiceRTT,3.1.3,60,0.247999907,1,0,40,2,1,39
c,1,0.303703704,0.012962963,0,0,0,,,,,,,,2.5554,-0.375,c,,001,2021-08-09_10h27.20.942,choiceRTT,3.1.3,60,0.298000097,1,0,40,28,1,39
c,1,0.303703704,0.012962963,0,0,0,,,,,,,,1,-0.375,c,,001,2021-08-09_10h27.20.942,choiceRTT,3.1.3,60,0.347999811,1,0,40,0,1,39
c,0,0.303703704,0.012962963,0,0,0,,,,,,,,2.3332,0.375,n,,001,2021-08-09_10h27.20.942,choiceRTT,3.1.3,60,0.380999804,1,0,40,27,1,39
c,0,0.3660619,0.045357524,0,0,0,,,,,,,,1,-0.125,v,,001,2021-08-09_10h27.20.942,choiceRTT,3.1.3,60,5.065000057,1,0,40,1,1,39
c,0,0.3660619,0.045357524,0,0,0,,,,,,,,1.4444,0.375,n,,001,2021-08-09_10h27.20.942,choiceRTT,3.1.3,60,0.329999924,1,0,40,11,1,39
c,0,0.3660619,0.045357524,0,0,0,,,,,,,,1.6666,-0.125,v,,001,2021-08-09_10h27.20.942,choiceRTT,3.1.3,60,0.345999956,1,0,40,13,1,39
c,1,0.3660619,0.045357524,0,0,0,,,,,,,,2.111,-0.375,c,,001,2021-08-09_10h27.20.942,choiceRTT,3.1.3,60,0.378999949,1,0,40,20,1,39
c,0,0.3660619,0.045357524,0,0,0,,,,,,,,2.5554,-0.125,v,,001,2021-08-09_10h27.20.942,choiceRTT,3.1.3,60,0.311999798,1,0,40,29,1,39
c,0,0.3660619,0.045357524,0,0,0,,,,,,,,1.8888,-0.125,v,,001,2021-08-09_10h27.20.942,choiceRTT,3.1.3,60,0.330000162,1,0,40,17,1,39
