keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,moveOnKeys.rt
c,1,2.4007,,,,,,,,1.3007,,0,0,0,0,1,1.1,images/target_cross.jpg,1,001,06-01-2023_13h46.08.270,choiceRTT,2021.2.3,Win32,60.18295619,
c,1,2.0425,,,,,,,,0.7425,space,0,1,1,3,1,1.3,images/target_cross.jpg,1,001,06-01-2023_13h46.08.270,choiceRTT,2021.2.3,Win32,60.18295619,1.1748
