participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,correctMouseResp,trialRespTimes,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,PracticeLoop.order,onsetTime,thisImage
,001,2023-10-28_00h07.23.200,choiceRTT,2023.1.3,MacIntel,58.82352941,,,,,,,,,,,,,,,,,,,
,001,2023-10-28_00h07.23.200,choiceRTT,2023.1.3,MacIntel,58.82352941,,0,-0.050925926,-0.251851852,1,0,0,2.081,square_button,1,0.581,0,0,0,2,1,8,1.5,images/target_square.jpg
