participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,keyResp.rt,keyResp.duration,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,moveOnKeys.duration,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
www,001,2023-12-01_10h26.20.594,choiceRTT,2023.1.3,Win32,59.95203837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
www,001,2023-12-01_10h26.20.594,choiceRTT,2023.1.3,Win32,59.95203837,v,0,0.997,,,,,,,,,-0.303,b,1.094,,0,0,0,3,1,1.3,images/target_cross.jpg,,,,,,,,,,,
www,001,2023-12-01_10h26.20.594,choiceRTT,2023.1.3,Win32,59.95203837,v,1,5.93,,,,,,,,,4.83,,,,0,1,1,5,1,1.1,images/target_square.jpg,,,,,,,,,,,
www,001,2023-12-01_10h26.20.594,choiceRTT,2023.1.3,Win32,59.95203837,c,1,3.445,,,,,,,,,2.345,,,,0,2,2,0,1,1.1,images/target_cross.jpg,,,,,,,,,,,
www,001,2023-12-01_10h26.20.594,choiceRTT,2023.1.3,Win32,59.95203837,v,1,2.412,,,,,,,,,1.112,,,,0,3,3,8,1,1.3,images/target_square.jpg,,,,,,,,,,,
www,001,2023-12-01_10h26.20.594,choiceRTT,2023.1.3,Win32,59.95203837,c,1,2.413,,,,,,,,,0.913,,,,0,4,4,6,1,1.5,images/target_cross.jpg,,,,,,,,,,,
www,001,2023-12-01_10h26.20.594,choiceRTT,2023.1.3,Win32,59.95203837,b,1,2.546,,,,,,,,,1.046,,,,0,5,5,4,1,1.5,images/target_plus.jpg,,,,,,,,,,,
www,001,2023-12-01_10h26.20.594,choiceRTT,2023.1.3,Win32,59.95203837,b,1,1.98,,,,,,,,,0.68,,,,0,6,6,1,1,1.3,images/target_plus.jpg,,,,,,,,,,,
www,001,2023-12-01_10h26.20.594,choiceRTT,2023.1.3,Win32,59.95203837,b,1,1.664,,,,,,,,,0.564,,,,0,7,7,7,1,1.1,images/target_plus.jpg,,,,,,,,,,,
www,001,2023-12-01_10h26.20.594,choiceRTT,2023.1.3,Win32,59.95203837,v,1,2.379,,,,,,,,,0.879,,,,0,8,8,2,1,1.5,images/target_square.jpg,,,,,,,,,,,
www,001,2023-12-01_10h26.20.594,choiceRTT,2023.1.3,Win32,59.95203837,,,,,,,,,,,,,,,,,,,,,,,,0.560185185,-0.113888889,1,0,0,,,,,
www,001,2023-12-01_10h26.20.594,choiceRTT,2023.1.3,Win32,59.95203837,c,1,2.8,,,,,,,,,1.3,,,,,,,,,1.5,images/target_cross.jpg,,,,,,,0,0,0,6,1
www,001,2023-12-01_10h26.20.594,choiceRTT,2023.1.3,Win32,59.95203837,v,1,1.881,,,,,,,,,0.581,,,,,,,,,1.3,images/target_square.jpg,,,,,,,0,1,1,8,1
www,001,2023-12-01_10h26.20.594,choiceRTT,2023.1.3,Win32,59.95203837,c,0,1.679,,,,,,,,,0.579,,,,,,,,,1.1,images/target_square.jpg,,,,,,,0,2,2,5,1
