participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,keyResp.rt,keyResp.duration,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,moveOnKeys.duration,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton
,001,2024-01-25_17h06.36.350,choiceRTT,2023.1.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,001,2024-01-25_17h06.36.350,choiceRTT,2023.1.3,Win32,60.24096386,v,1,3.6481,,,,,,,,,2.1481,v,0.1903,,0,0,0,2,1,1.5,images/target_square.jpg,,,,,,
,001,2024-01-25_17h06.36.350,choiceRTT,2023.1.3,Win32,60.24096386,v,1,3.126,,,,,,,,,1.826,,,,0,1,1,8,1,1.3,images/target_square.jpg,,,,,,
,001,2024-01-25_17h06.36.350,choiceRTT,2023.1.3,Win32,60.24096386,b,1,3.2721,,,,,,,,,1.7721,,,,0,2,2,4,1,1.5,images/target_plus.jpg,,,,,,
,001,2024-01-25_17h06.36.350,choiceRTT,2023.1.3,Win32,60.24096386,v,1,2.4714,,,,,,,,,1.3714,,,,0,3,3,5,1,1.1,images/target_square.jpg,,,,,,
,001,2024-01-25_17h06.36.350,choiceRTT,2023.1.3,Win32,60.24096386,c,0,4.3283,,,,,,,,,3.0283,,,,0,4,4,1,1,1.3,images/target_plus.jpg,,,,,,
,001,2024-01-25_17h06.36.350,choiceRTT,2023.1.3,Win32,60.24096386,c,1,3.2809,,,,,,,,,2.1809,,,,0,5,5,0,1,1.1,images/target_cross.jpg,,,,,,
,001,2024-01-25_17h06.36.350,choiceRTT,2023.1.3,Win32,60.24096386,c,1,2.6341,,,,,,,,,1.3341,,,,0,6,6,3,1,1.3,images/target_cross.jpg,,,,,,
,001,2024-01-25_17h06.36.350,choiceRTT,2023.1.3,Win32,60.24096386,c,1,2.681,,,,,,,,,1.181,,,,0,7,7,6,1,1.5,images/target_cross.jpg,,,,,,
,001,2024-01-25_17h06.36.350,choiceRTT,2023.1.3,Win32,60.24096386,b,1,2.256,,,,,,,,,1.156,,,,0,8,8,7,1,1.1,images/target_plus.jpg,,,,,,
,001,2024-01-25_17h06.36.350,choiceRTT,2023.1.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,-0.073333295,-0.235000038,1,0,0
