participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,correctMouseResp,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,moveOnKeys.duration,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,keyResp.rt,keyResp.duration,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
1,001,2023-11-02_17h58.24.138,choiceRTT,2023.1.3,Win32,30.0516889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,001,2023-11-02_17h58.24.138,choiceRTT,2023.1.3,Win32,30.0516889,,0,-0.014814801,-0.237963005,1,0,0,3.2046,square_button,0,1.7046,space,3.0499,,0,0,0,6,1,1.5,images/target_cross.jpg,,,,,,,,,,,,,
1,001,2023-11-02_17h58.24.138,choiceRTT,2023.1.3,Win32,30.0516889,,0,-0.018518519,-0.282407407,1,0,0,1.3971,square_button,1,0.2971,space,1.1122,,0,1,1,5,1,1.1,images/target_square.jpg,,,,,,,,,,,,,
1,001,2023-11-02_17h58.24.138,choiceRTT,2023.1.3,Win32,30.0516889,,0,0,-0.257407436,1,0,0,0.9652,square_button,1,-0.3348,space,0.9646,,0,2,2,8,1,1.3,images/target_square.jpg,,,,,,,,,,,,,
1,001,2023-11-02_17h58.24.138,choiceRTT,2023.1.3,Win32,30.0516889,,0,-0.02407406,-0.250925912,1,0,0,0.7987,square_button,1,-0.7013,space,0.6966,,0,3,3,2,1,1.5,images/target_square.jpg,,,,,,,,,,,,,
1,001,2023-11-02_17h58.24.138,choiceRTT,2023.1.3,Win32,30.0516889,,0,0.031481496,-0.285185213,1,0,0,1.1322,square_button,0,0.0322,space,0.3909,,0,4,4,0,1,1.1,images/target_cross.jpg,,,,,,,,,,,,,
1,001,2023-11-02_17h58.24.138,choiceRTT,2023.1.3,Win32,30.0516889,,0,0.032407407,-0.271296325,1,0,0,0.9972,square_button,0,-0.5028,space,1.8126,,0,5,5,4,1,1.5,images/target_plus.jpg,,,,,,,,,,,,,
1,001,2023-11-02_17h58.24.138,choiceRTT,2023.1.3,Win32,30.0516889,c,0,-0.288888861,-0.063888903,0,0,1,2.2305,,,3.9277,space,2.5071,,0,6,6,7,1,1.1,images/target_plus.jpg,5.0277,,,,,,,,,,,,
1,001,2023-11-02_17h58.24.138,choiceRTT,2023.1.3,Win32,30.0516889,v,0,,,,,,,,,2.7048,,,,0,7,7,3,1,1.3,images/target_cross.jpg,4.0048,,,,,,,,,,,,
1,001,2023-11-02_17h58.24.138,choiceRTT,2023.1.3,Win32,30.0516889,b,1,0.135185171,-0.046296296,1,0,0,2.0488,,,3.0276,space,1.477,,0,8,8,1,1,1.3,images/target_plus.jpg,4.3276,,,,,,,,,,,,
1,001,2023-11-02_17h58.24.138,choiceRTT,2023.1.3,Win32,30.0516889,,,,,,,,,,,,,,,,,,,,,,,,,0.041666667,-0.25,1,0,0,,,,,
1,001,2023-11-02_17h58.24.138,choiceRTT,2023.1.3,Win32,30.0516889,v,1,,,,,,,,,2.9607,,,,,,,,,1.1,images/target_square.jpg,4.0607,,,,,,,,0,0,0,5,1
1,001,2023-11-02_17h58.24.138,choiceRTT,2023.1.3,Win32,30.0516889,v,0,,,,,,,,,2.1527,,,,,,,,,1.3,images/target_plus.jpg,3.4527,,,,,,,,0,1,1,1,1
1,001,2023-11-02_17h58.24.138,choiceRTT,2023.1.3,Win32,30.0516889,c,1,,,,,,,,,1.8719,,,,,,,,,1.5,images/target_cross.jpg,3.3719,,,,,,,,0,2,2,6,1
1,001,2023-11-02_17h58.24.138,choiceRTT,2023.1.3,Win32,30.0516889,v,0,,,,,,,,,1.6365,,,,,,,,,1.1,images/target_plus.jpg,2.7365,,,,,,,,0,3,3,7,1
1,001,2023-11-02_17h58.24.138,choiceRTT,2023.1.3,Win32,30.0516889,c,1,,,,,,,,,4.2552,,,,,,,,,1.1,images/target_cross.jpg,5.3552,,,,,,,,0,4,4,0,1
1,001,2023-11-02_17h58.24.138,choiceRTT,2023.1.3,Win32,30.0516889,b,1,,,,,,,,,1.3696,,,,,,,,,1.5,images/target_plus.jpg,2.8696,,,,,,,,0,5,5,4,1
