keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,PracticeLoop.order
b,0,3.435,,,,,,,,2.335,b,6.732,0,0,0,0,1,1.1,images/target_cross.jpg,,001,2022-10-31_11h52.12.787,choiceRTT,2021.2.3,MacIntel,58.82352941,
c,1,4.088,,,,,,,,2.588,b,5.687,0,1,1,6,1,1.5,images/target_cross.jpg,,001,2022-10-31_11h52.12.787,choiceRTT,2021.2.3,MacIntel,58.82352941,
v,1,2.57,,,,,,,,1.27,,,0,2,2,8,1,1.3,images/target_square.jpg,,001,2022-10-31_11h52.12.787,choiceRTT,2021.2.3,MacIntel,58.82352941,8
