participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,keyResp.rt,keyResp.duration,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage
dfghjk,001,2024-02-15_11h41.12.374,choiceRTT,2023.1.3,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,
dfghjk,001,2024-02-15_11h41.12.374,choiceRTT,2023.1.3,Win32,59.52380952,v,1,2.6583,,,,,,,,,1.5583,,0,0,0,5,1,1.1,images/target_square.jpg
dfghjk,001,2024-02-15_11h41.12.374,choiceRTT,2023.1.3,Win32,59.52380952,c,1,2.1205,,,,,,,,,1.0205,,0,1,1,0,1,1.1,images/target_cross.jpg
