keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,moveOnKeys.rt,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
b,1,3.2624,,,,,,,,1.7624,,0,0,0,4,1,1.5,images/target_plus.jpg,Jefferson,001,2023-04-02_23h17.05.725,choiceRTT,2021.2.3,Win32,60.28090904,,,,,,,,,,,,
v,1,2.7913,,,,,,,,1.6913,space,0,1,1,5,1,1.1,images/target_square.jpg,Jefferson,001,2023-04-02_23h17.05.725,choiceRTT,2021.2.3,Win32,60.28090904,109.3745,,,,,,,,,,,
c,1,8.9671,,,,,,,,7.6671,space,0,2,2,3,1,1.3,images/target_cross.jpg,Jefferson,001,2023-04-02_23h17.05.725,choiceRTT,2021.2.3,Win32,60.28090904,4.4196,,,,,,,,,,,
b,1,2.7085,,,,,,,,1.4085,space,0,3,3,1,1,1.3,images/target_plus.jpg,Jefferson,001,2023-04-02_23h17.05.725,choiceRTT,2021.2.3,Win32,60.28090904,1.3023,,,,,,,,,,,
c,1,2.4281,,,,,,,,1.3281,space,0,4,4,0,1,1.1,images/target_cross.jpg,Jefferson,001,2023-04-02_23h17.05.725,choiceRTT,2021.2.3,Win32,60.28090904,0.6517,,,,,,,,,,,
b,1,2.0552,,,,,,,,0.9552,space,0,5,5,7,1,1.1,images/target_plus.jpg,Jefferson,001,2023-04-02_23h17.05.725,choiceRTT,2021.2.3,Win32,60.28090904,1.0458,,,,,,,,,,,
v,1,1.7932,,,,,,,,0.2932,space,0,6,6,2,1,1.5,images/target_square.jpg,Jefferson,001,2023-04-02_23h17.05.725,choiceRTT,2021.2.3,Win32,60.28090904,1.4122,,,,,,,,,,,
c,1,2.0683,,,,,,,,0.5683,space,0,7,7,6,1,1.5,images/target_cross.jpg,Jefferson,001,2023-04-02_23h17.05.725,choiceRTT,2021.2.3,Win32,60.28090904,0.5312,,,,,,,,,,,
v,1,1.8307,,,,,,,,0.5307,space,0,8,8,8,1,1.3,images/target_square.jpg,Jefferson,001,2023-04-02_23h17.05.725,choiceRTT,2021.2.3,Win32,60.28090904,1.8537,,,,,,,,,,,
c,1,3.5024,,,,,,,,2.2024,,,,,,,1.3,images/target_cross.jpg,Jefferson,001,2023-04-02_23h17.05.725,choiceRTT,2021.2.3,Win32,60.28090904,,,-0.041602465,-0.2596302,1,0,0,0,0,0,3,1
