response.keys,response.corr,response.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order
c,0,43.62100005,-0.11843378,0.036640625,0,0,0,1,0,8,5,1,7,1,-0.125,v,Cruz1,001,2020-01-20_15h32.18.188,choiceRTT,3.1.3,60,,,,,,
c,0,3.282000065,-0.11843378,0.036640625,0,0,0,1,0,8,2,1,7,1,0.125,b,Cruz1,001,2020-01-20_15h32.18.188,choiceRTT,3.1.3,60,,,,,,
c,0,4.506999969,-0.11843378,0.036640625,0,0,0,1,0,8,1,1,7,1,-0.125,v,Cruz1,001,2020-01-20_15h32.18.188,choiceRTT,3.1.3,60,,,,,,
n,1,4.016000032,-0.11843378,0.036640625,0,0,0,1,0,8,3,1,7,1,0.375,n,Cruz1,001,2020-01-20_15h32.18.188,choiceRTT,3.1.3,60,,,,,,
b,1,2.069000006,-0.11843378,0.036640625,0,0,0,1,0,8,6,1,7,1,0.125,b,Cruz1,001,2020-01-20_15h32.18.188,choiceRTT,3.1.3,60,,,,,,
c,1,4.868999958,-0.11843378,0.036640625,0,0,0,1,0,8,4,1,7,1,-0.375,c,Cruz1,001,2020-01-20_15h32.18.188,choiceRTT,3.1.3,60,,,,,,
c,0,5.999000072,-0.11843378,0.036640625,0,0,0,1,0,8,7,1,7,1,0.375,n,Cruz1,001,2020-01-20_15h32.18.188,choiceRTT,3.1.3,60,,,,,,
c,1,2.020999908,-0.11843378,0.036640625,0,0,0,1,0,8,0,1,7,1,-0.375,c,Cruz1,001,2020-01-20_15h32.18.188,choiceRTT,3.1.3,60,,,,,,
c,0,1.417999983,-0.11843378,0.036640625,0,0,0,,,,,,,1.2222,0.375,n,Cruz1,001,2020-01-20_15h32.18.188,choiceRTT,3.1.3,60,1,0,40,7,1,39
n,1,2.03399992,-0.11843378,0.036640625,0,0,0,,,,,,,2.5554,0.375,n,Cruz1,001,2020-01-20_15h32.18.188,choiceRTT,3.1.3,60,1,0,40,31,1,39
c,0,3.401000023,-0.11843378,0.036640625,0,0,0,,,,,,,1.4444,-0.125,v,Cruz1,001,2020-01-20_15h32.18.188,choiceRTT,3.1.3,60,1,0,40,9,1,39
c,1,6.217999935,-0.11843378,0.036640625,0,0,0,,,,,,,2.9998,-0.375,c,Cruz1,001,2020-01-20_15h32.18.188,choiceRTT,3.1.3,60,1,0,40,36,1,39
v,0,1.822000027,-0.11843378,0.036640625,0,0,0,,,,,,,1.2222,0.125,b,Cruz1,001,2020-01-20_15h32.18.188,choiceRTT,3.1.3,60,1,0,40,6,1,39
c,1,3.340000153,-0.11843378,0.036640625,0,0,0,,,,,,,2.7776,-0.375,c,Cruz1,001,2020-01-20_15h32.18.188,choiceRTT,3.1.3,60,1,0,40,32,1,39
c,0,1.086999893,-0.11843378,0.036640625,0,0,0,,,,,,,2.9998,-0.125,v,Cruz1,001,2020-01-20_15h32.18.188,choiceRTT,3.1.3,60,1,0,40,37,1,39
