participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,correctMouseResp,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton
,001,2024-01-16_23h57.02.265,choiceRTT,2023.1.3,Linux armv81,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,
,001,2024-01-16_23h57.02.265,choiceRTT,2023.1.3,Linux armv81,59.88023952,,0,0.272285387,-0.213887928,1,0,0,0.9071,plus_button,0,-0.5929,,0,0,0,2,1,1.5,images/target_square.jpg,,,,,,
,001,2024-01-16_23h57.02.265,choiceRTT,2023.1.3,Linux armv81,59.88023952,,0,0.033948546,-0.253630999,1,0,0,2.3566,square_button,1,1.0566,,0,1,1,8,1,1.3,images/target_square.jpg,,,,,,
,001,2024-01-16_23h57.02.265,choiceRTT,2023.1.3,Linux armv81,59.88023952,,0,0.282447074,-0.205569665,1,0,0,3.0407,plus_button,0,1.5407,,0,2,2,6,1,1.5,images/target_cross.jpg,,,,,,
,001,2024-01-16_23h57.02.265,choiceRTT,2023.1.3,Linux armv81,59.88023952,,0,0.047805305,-0.267494868,1,0,0,0.646,square_button,0,-0.454,,0,3,3,0,1,1.1,images/target_cross.jpg,,,,,,
,001,2024-01-16_23h57.02.265,choiceRTT,2023.1.3,Linux armv81,59.88023952,,0,-0.190531573,-0.257327922,1,0,0,0.6003,cross_button,0,-0.8997,,0,4,4,4,1,1.5,images/target_plus.jpg,,,,,,
,001,2024-01-16_23h57.02.265,choiceRTT,2023.1.3,Linux armv81,59.88023952,,0,0.039491265,-0.255479535,1,0,0,0.4994,square_button,0,-0.6006,,0,5,5,7,1,1.1,images/target_plus.jpg,,,,,,
,001,2024-01-16_23h57.02.265,choiceRTT,2023.1.3,Linux armv81,59.88023952,,0,0.239952902,-0.197251255,1,0,0,0.9124,plus_button,0,-0.1876,,0,6,6,5,1,1.1,images/target_square.jpg,,,,,,
,001,2024-01-16_23h57.02.265,choiceRTT,2023.1.3,Linux armv81,59.88023952,,0,-0.209931087,-0.229600332,1,0,0,0.9973,cross_button,1,-0.3027,,0,7,7,3,1,1.3,images/target_cross.jpg,,,,,,
,001,2024-01-16_23h57.02.265,choiceRTT,2023.1.3,Linux armv81,59.88023952,,0,0.247343193,-0.213887928,1,0,0,0.7266,plus_button,1,-0.5734,,0,8,8,1,1,1.3,images/target_plus.jpg,,,,,,
,001,2024-01-16_23h57.02.265,choiceRTT,2023.1.3,Linux armv81,59.88023952,,,,,,,,,,,,,,,,,,,,,0.134641258,-1.060507024,1,0,0
