response.keys,response.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.clicked_name,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate
,0,-0.119784546,-0.021737671,1,0,0,targImage,1,0,8,5,1,7,1,-0.125,v,11,001,2020-09-30_11h51.22.134,choiceRTT,3.1.3,60
,0,-0.418377686,0.010375977,1,0,0,targImage,1,0,8,0,1,7,1,-0.375,c,11,001,2020-09-30_11h51.22.134,choiceRTT,3.1.3,60
,0,-0.144418335,0.014846802,1,0,0,targImage,1,0,8,1,1,7,1,-0.125,v,11,001,2020-09-30_11h51.22.134,choiceRTT,3.1.3,60
