participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,keyResp.rt,keyResp.duration,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,moveOnKeys.duration,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,key_resp.keys,key_resp.rt,key_resp.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton
1,001,2023-09-18_09h41.02.463,choiceRTT,2023.1.3,MacIntel,59.95203837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,001,2023-09-18_09h41.02.463,choiceRTT,2023.1.3,MacIntel,59.95203837,c,1,2.302,,,,,,,,,1.202,space,7.04,,0,0,0,0,1,1.1,images/target_cross.jpg,,,,,,,,
1,001,2023-09-18_09h41.02.463,choiceRTT,2023.1.3,MacIntel,59.95203837,v,1,2.493,,,,,,,,,0.993,space,1.273,,0,1,1,2,1,1.5,images/target_square.jpg,,,,,,,,
1,001,2023-09-18_09h41.02.463,choiceRTT,2023.1.3,MacIntel,59.95203837,b,1,2.006,,,,,,,,,0.706,space,2.96,,0,2,2,1,1,1.3,images/target_plus.jpg,,,,,,,,
1,001,2023-09-18_09h41.02.463,choiceRTT,2023.1.3,MacIntel,59.95203837,b,0,1.872,,,,,,,,,0.572,space,0.707,,0,3,3,3,1,1.3,images/target_cross.jpg,,,,,,,,
1,001,2023-09-18_09h41.02.463,choiceRTT,2023.1.3,MacIntel,59.95203837,c,0,1.769,,,,,,,,,0.669,b,0.239,,0,4,4,7,1,1.1,images/target_plus.jpg,,,,,,,,
1,001,2023-09-18_09h41.02.463,choiceRTT,2023.1.3,MacIntel,59.95203837,v,1,2.138,,,,,,,,,0.838,space,0.63,,0,5,5,8,1,1.3,images/target_square.jpg,,,,,,,,
1,001,2023-09-18_09h41.02.463,choiceRTT,2023.1.3,MacIntel,59.95203837,v,1,1.854,,,,,,,,,0.754,space,0.409,,0,6,6,5,1,1.1,images/target_square.jpg,,,,,,,,
1,001,2023-09-18_09h41.02.463,choiceRTT,2023.1.3,MacIntel,59.95203837,b,1,2.14,,,,,,,,,0.64,space,0.446,,0,7,7,4,1,1.5,images/target_plus.jpg,,,,,,,,
1,001,2023-09-18_09h41.02.463,choiceRTT,2023.1.3,MacIntel,59.95203837,c,1,2.22,,,,,,,,,0.72,space,0.159,,0,8,8,6,1,1.5,images/target_cross.jpg,,,,,,,,
1,001,2023-09-18_09h41.02.463,choiceRTT,2023.1.3,MacIntel,59.95203837,,,,,,,,,,,,,,,,,,,,,,,space,1.906,,0.62962963,0.138663053,0,0,0
