keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
c,1,5.6193,,,,,,,,4.3193,,,,,,,1.3,images/target_cross.jpg,Carcel,001,2023-04-02_17h19.26.073,choiceRTT,2021.2.3,Win32,59.30846332,,,,,,,,0,1,1,3,1
b,1,4.2169,,,,,,,,2.7169,,,,,,,1.5,images/target_plus.jpg,Carcel,001,2023-04-02_17h19.26.073,choiceRTT,2021.2.3,Win32,59.30846332,,,,,,,,0,2,2,4,1
b,1,2.865,,,,,,,,1.565,,,,,,,1.3,images/target_plus.jpg,Carcel,001,2023-04-02_17h19.26.073,choiceRTT,2021.2.3,Win32,59.30846332,,,,,,,,0,3,3,1,1
c,1,4.2147,,,,,,,,2.7147,,,,,,,1.5,images/target_cross.jpg,Carcel,001,2023-04-02_17h19.26.073,choiceRTT,2021.2.3,Win32,59.30846332,,,,,,,,0,4,4,6,1
c,1,2.9743,,,,,,,,1.8743,,,,,,,1.1,images/target_cross.jpg,Carcel,001,2023-04-02_17h19.26.073,choiceRTT,2021.2.3,Win32,59.30846332,,,,,,,,0,5,5,0,1
v,1,3.0539,,,,,,,,1.9539,,,,,,,1.1,images/target_square.jpg,Carcel,001,2023-04-02_17h19.26.073,choiceRTT,2021.2.3,Win32,59.30846332,,,,,,,,0,6,6,5,1
v,1,2.6489,,,,,,,,1.3489,,,,,,,1.3,images/target_square.jpg,Carcel,001,2023-04-02_17h19.26.073,choiceRTT,2021.2.3,Win32,59.30846332,,,,,,,,0,7,7,8,1
b,1,4.2538,,,,,,,,3.1538,,,,,,,1.1,images/target_plus.jpg,Carcel,001,2023-04-02_17h19.26.073,choiceRTT,2021.2.3,Win32,59.30846332,,,,,,,,0,8,8,7,1
b,1,2.9997,,,,,,,,1.4997,,,,,,,1.5,images/target_plus.jpg,Carcel,001,2023-04-02_17h19.26.073,choiceRTT,2021.2.3,Win32,59.30846332,,,,,,,,1,0,9,4,1
b,1,2.3206,,,,,,,,1.0206,,,,,,,1.3,images/target_plus.jpg,Carcel,001,2023-04-02_17h19.26.073,choiceRTT,2021.2.3,Win32,59.30846332,,,,,,,,1,1,10,1,1
b,1,2.078,,,,,,,,0.978,,,,,,,1.1,images/target_plus.jpg,Carcel,001,2023-04-02_17h19.26.073,choiceRTT,2021.2.3,Win32,59.30846332,,,,,,,,1,2,11,7,1
c,1,3.1846,,,,,,,,1.6846,,,,,,,1.5,images/target_cross.jpg,Carcel,001,2023-04-02_17h19.26.073,choiceRTT,2021.2.3,Win32,59.30846332,,,,,,,,1,3,12,6,1
c,1,2.2383,,,,,,,,0.9383,,,,,,,1.3,images/target_cross.jpg,Carcel,001,2023-04-02_17h19.26.073,choiceRTT,2021.2.3,Win32,59.30846332,,,,,,,,1,4,13,3,1
v,1,2.433,,,,,,,,1.333,,,,,,,1.1,images/target_square.jpg,Carcel,001,2023-04-02_17h19.26.073,choiceRTT,2021.2.3,Win32,59.30846332,,,,,,,,1,5,14,5,1
v,1,2.2287,,,,,,,,0.9287,,,,,,,1.3,images/target_square.jpg,Carcel,001,2023-04-02_17h19.26.073,choiceRTT,2021.2.3,Win32,59.30846332,,,,,,,,1,6,15,8,1
v,1,2.6325,,,,,,,,1.1325,,,,,,,1.5,images/target_square.jpg,Carcel,001,2023-04-02_17h19.26.073,choiceRTT,2021.2.3,Win32,59.30846332,,,,,,,,1,7,16,2,1
c,1,2.9805,,,,,,,,1.8805,,,,,,,1.1,images/target_cross.jpg,Carcel,001,2023-04-02_17h19.26.073,choiceRTT,2021.2.3,Win32,59.30846332,,,,,,,,1,8,17,0,1
