keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,PracticeLoop.order
v,0,5.45,,,,,,,,4.35,space,4.7477,0,0,0,0,1,1.1,images/target_cross.jpg,01,001,2022-09-15_12h58.01.870,choiceRTT,2021.2.3,Win32,59.89458553,
v,0,1.4249,,,,,,,,0.1249,space,5.6867,0,1,1,3,1,1.3,images/target_cross.jpg,01,001,2022-09-15_12h58.01.870,choiceRTT,2021.2.3,Win32,59.89458553,
v,1,2.9741,,,,,,,,1.4741,space,3.3736,0,2,2,2,1,1.5,images/target_square.jpg,01,001,2022-09-15_12h58.01.870,choiceRTT,2021.2.3,Win32,59.89458553,
v,1,2.1439,,,,,,,,0.8439,space,4.5445,0,3,3,8,1,1.3,images/target_square.jpg,01,001,2022-09-15_12h58.01.870,choiceRTT,2021.2.3,Win32,59.89458553,
c,0,4.1816,,,,,,,,2.8816,space,2.1565,0,4,4,1,1,1.3,images/target_plus.jpg,01,001,2022-09-15_12h58.01.870,choiceRTT,2021.2.3,Win32,59.89458553,
v,1,2.4718,,,,,,,,1.3718,space,0.8835,0,5,5,5,1,1.1,images/target_square.jpg,01,001,2022-09-15_12h58.01.870,choiceRTT,2021.2.3,Win32,59.89458553,
b,0,3.7285,,,,,,,,2.2285,b,1.0783,0,6,6,6,1,1.5,images/target_cross.jpg,01,001,2022-09-15_12h58.01.870,choiceRTT,2021.2.3,Win32,59.89458553,
b,1,1.8068,,,,,,,,0.7068,b,0.8535,0,7,7,7,1,1.1,images/target_plus.jpg,01,001,2022-09-15_12h58.01.870,choiceRTT,2021.2.3,Win32,59.89458553,
v,0,3.4574,,,,,,,,1.9574,,,0,8,8,4,1,1.5,images/target_plus.jpg,01,001,2022-09-15_12h58.01.870,choiceRTT,2021.2.3,Win32,59.89458553,8
