keyResp.keys,keyResp.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,correctMouseResp,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran,keyResp.rt
,0,0.016927083,-0.248697917,1,0,0,16.043,square_button,0,14.543,,0,0,0,4,1,1.5,images/target_plus.jpg,,001,2022-08-03_12h01.01.590,choiceRTT,2021.2.3,MacIntel,55.55555556,,,,,,,,,,,,
,0,-0.23046875,-0.28125,1,0,0,3.188,cross_button,0,2.088,,0,1,1,7,1,1.1,images/target_plus.jpg,,001,2022-08-03_12h01.01.590,choiceRTT,2021.2.3,MacIntel,55.55555556,,,,,,,,,,,,
,0,0.25,-0.27734375,1,0,0,2.638,plus_button,1,1.338,,0,2,2,1,1,1.3,images/target_plus.jpg,,001,2022-08-03_12h01.01.590,choiceRTT,2021.2.3,MacIntel,55.55555556,,,,,,,,,,,,
,0,0.048177083,-0.28515625,1,0,0,2.17,square_button,1,0.87,,0,3,3,8,1,1.3,images/target_square.jpg,,001,2022-08-03_12h01.01.590,choiceRTT,2021.2.3,MacIntel,55.55555556,,,,,,,,,,,,
,0,-0.225260417,-0.209635417,1,0,0,1.803,cross_button,1,0.703,,0,4,4,0,1,1.1,images/target_cross.jpg,,001,2022-08-03_12h01.01.590,choiceRTT,2021.2.3,MacIntel,55.55555556,,,,,,,,,,,,
,0,-0.036458333,-0.234375,1,0,0,2.372,square_button,1,0.872,,0,5,5,2,1,1.5,images/target_square.jpg,,001,2022-08-03_12h01.01.590,choiceRTT,2021.2.3,MacIntel,55.55555556,,,,,,,,,,,,
,0,-0.03125,-0.209635417,1,0,0,1.837,square_button,1,0.737,,0,6,6,5,1,1.1,images/target_square.jpg,,001,2022-08-03_12h01.01.590,choiceRTT,2021.2.3,MacIntel,55.55555556,,,,,,,,,,,,
,0,-0.264322917,-0.25390625,1,0,0,2.305,cross_button,1,0.805,,0,7,7,6,1,1.5,images/target_cross.jpg,,001,2022-08-03_12h01.01.590,choiceRTT,2021.2.3,MacIntel,55.55555556,,,,,,,,,,,,
,0,-0.188802083,-0.240885417,1,0,0,2.155,cross_button,1,0.855,,0,8,8,3,1,1.3,images/target_cross.jpg,,001,2022-08-03_12h01.01.590,choiceRTT,2021.2.3,MacIntel,55.55555556,,,,,,,,,,,,
,0,-0.282552083,-0.200520833,1,0,0,2.641,cross_button,1,1.541,,,,,,,1.1,images/target_cross.jpg,,001,2022-08-03_12h01.01.590,choiceRTT,2021.2.3,MacIntel,55.55555556,,0.022135417,-0.256510417,1,0,0,0,0,0,0,1,
,0,-0.256510417,-0.25390625,1,0,0,0.499,cross_button,0,-0.801,,,,,,,1.3,images/target_plus.jpg,,001,2022-08-03_12h01.01.590,choiceRTT,2021.2.3,MacIntel,55.55555556,,,,,,,0,1,1,1,1,
,0,-0.221354167,-0.244791667,1,0,0,0.502,cross_button,0,-0.598,,,,,,,1.1,images/target_square.jpg,,001,2022-08-03_12h01.01.590,choiceRTT,2021.2.3,MacIntel,55.55555556,,,,,,,0,2,2,5,1,
,0,-0.221354167,-0.244791667,1,0,0,0.349,cross_button,1,-0.951,,,,,,,1.3,images/target_cross.jpg,,001,2022-08-03_12h01.01.590,choiceRTT,2021.2.3,MacIntel,55.55555556,,,,,,,0,3,3,3,1,
,0,-0.221354167,-0.244791667,1,0,0,0.233,cross_button,0,-1.067,,,,,,,1.3,images/target_square.jpg,,001,2022-08-03_12h01.01.590,choiceRTT,2021.2.3,MacIntel,55.55555556,,,,,,,0,4,4,8,1,
,0,-0.268229167,-0.255208333,1,0,0,0.433,cross_button,0,-1.067,,,,,,,1.5,images/target_square.jpg,,001,2022-08-03_12h01.01.590,choiceRTT,2021.2.3,MacIntel,55.55555556,,,,,,,0,5,5,2,1,
,0,-0.182291667,-0.259114583,1,0,0,2.454,cross_button,1,0.954,,,,,,,1.5,images/target_cross.jpg,,001,2022-08-03_12h01.01.590,choiceRTT,2021.2.3,MacIntel,55.55555556,,,,,,,0,6,6,6,1,
c,0,,,,,,,,,0.002,,,,,,,1.1,images/target_plus.jpg,,001,2022-08-03_12h01.01.590,choiceRTT,2021.2.3,MacIntel,55.55555556,,,,,,,0,7,7,7,1,1.102
