participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,keyResp.rt,keyResp.duration,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,moveOnKeys.rt,moveOnKeys.duration,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,correctMouseResp,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
,001,2023-08-17_12h42.20.500,choiceRTT,2023.1.3,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,001,2023-08-17_12h42.20.500,choiceRTT,2023.1.3,MacIntel,59.99880002,c,0,5.4007,,,,,,,,,3.9007,,0,0,0,4,1,1.5,images/target_plus.jpg,,,,,,,,,,,,,,
,001,2023-08-17_12h42.20.500,choiceRTT,2023.1.3,MacIntel,59.99880002,c,1,5.1917,,,,,,,,,3.6917,,0,1,1,6,1,1.5,images/target_cross.jpg,,,,,,,,,,,,,,
,001,2023-08-17_12h42.20.500,choiceRTT,2023.1.3,MacIntel,59.99880002,v,1,2.8412,,,,,,,,,1.3412,,0,2,2,2,1,1.5,images/target_square.jpg,,,,,,,,,,,,,,
,001,2023-08-17_12h42.20.500,choiceRTT,2023.1.3,MacIntel,59.99880002,b,1,2.5123,,,,,,,,,1.2123,space,0,3,3,1,1,1.3,images/target_plus.jpg,9.467,,,,,,,,,,,,,
,001,2023-08-17_12h42.20.500,choiceRTT,2023.1.3,MacIntel,59.99880002,v,1,2.1598,,,,,,,,,1.0598,space,0,4,4,5,1,1.1,images/target_square.jpg,5.2779,,,,,,,,,,,,,
,001,2023-08-17_12h42.20.500,choiceRTT,2023.1.3,MacIntel,59.99880002,c,1,1.7969,,,,,,,,,0.4969,space,0,5,5,3,1,1.3,images/target_cross.jpg,2.6896,,,,,,,,,,,,,
,001,2023-08-17_12h42.20.500,choiceRTT,2023.1.3,MacIntel,59.99880002,v,0,1.7326,,,,,,,,,0.6326,space,0,6,6,7,1,1.1,images/target_plus.jpg,2.8462,,,,,,,,,,,,,
,001,2023-08-17_12h42.20.500,choiceRTT,2023.1.3,MacIntel,59.99880002,c,0,1.775,,,,,,,,,0.475,space,0,7,7,8,1,1.3,images/target_square.jpg,1.6803,,,,,,,,,,,,,
,001,2023-08-17_12h42.20.500,choiceRTT,2023.1.3,MacIntel,59.99880002,c,1,1.8777,,,,,,,,,0.7777,space,0,8,8,0,1,1.1,images/target_cross.jpg,2.8113,,,,,,,,,,,,,
,001,2023-08-17_12h42.20.500,choiceRTT,2023.1.3,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,0.03421875,-0.26625,1,0,0,,,,,,
,001,2023-08-17_12h42.20.500,choiceRTT,2023.1.3,MacIntel,59.99880002,,0,,,-0.023420139,-0.253845486,1,0,0,2.2814,square_button,0.9814,,,,,,,1.3,images/target_square.jpg,,,,,,,,,1,0,0,0,8,1
,001,2023-08-17_12h42.20.500,choiceRTT,2023.1.3,MacIntel,59.99880002,,0,,,0.227521701,-0.249457465,1,0,0,3.1332,plus_button,1.8332,,,,,,,1.3,images/target_plus.jpg,,,,,,,,,1,0,1,1,1,1
,001,2023-08-17_12h42.20.500,choiceRTT,2023.1.3,MacIntel,59.99880002,,0,,,0.068741319,-0.255533854,1,0,0,1.9958,square_button,0.8958,,,,,,,1.1,images/target_square.jpg,,,,,,,,,1,0,2,2,5,1
,001,2023-08-17_12h42.20.500,choiceRTT,2023.1.3,MacIntel,59.99880002,,0,,,0.068741319,-0.255533854,1,0,0,2.1169,square_button,0.6169,,,,,,,1.5,images/target_square.jpg,,,,,,,,,1,0,3,3,2,1
,001,2023-08-17_12h42.20.500,choiceRTT,2023.1.3,MacIntel,59.99880002,,0,,,0.300998264,-0.242686632,1,0,0,2.633,plus_button,1.133,,,,,,,1.5,images/target_plus.jpg,,,,,,,,,1,0,4,4,4,1
,001,2023-08-17_12h42.20.500,choiceRTT,2023.1.3,MacIntel,59.99880002,,0,,,-0.22109375,-0.224097222,1,0,0,2.1535,cross_button,0.8535,,,,,,,1.3,images/target_cross.jpg,,,,,,,,,1,0,5,5,3,1
,001,2023-08-17_12h42.20.500,choiceRTT,2023.1.3,MacIntel,59.99880002,,0,,,0.220247396,-0.244457465,1,0,0,2.1955,plus_button,1.0955,,,,,,,1.1,images/target_plus.jpg,,,,,,,,,1,0,6,6,7,1
,001,2023-08-17_12h42.20.500,choiceRTT,2023.1.3,MacIntel,59.99880002,,0,,,-0.26609375,-0.248428819,1,0,0,2.5196,cross_button,1.0196,,,,,,,1.5,images/target_cross.jpg,,,,,,,,,1,0,7,7,6,1
,001,2023-08-17_12h42.20.500,choiceRTT,2023.1.3,MacIntel,59.99880002,,0,,,-0.252434896,-0.252096354,1,0,0,2.716,cross_button,1.616,,,,,,,1.1,images/target_cross.jpg,,,,,,,,,1,0,8,8,0,1
,001,2023-08-17_12h42.20.500,choiceRTT,2023.1.3,MacIntel,59.99880002,,0,,,-0.253927951,-0.257165799,1,0,0,1.9624,cross_button,0.8624,,,,,,,1.1,images/target_cross.jpg,,,,,,,,,1,1,0,9,0,1
,001,2023-08-17_12h42.20.500,choiceRTT,2023.1.3,MacIntel,59.99880002,,0,,,0.182730035,-0.236801215,1,0,0,2.3519,plus_button,1.0519,,,,,,,1.3,images/target_plus.jpg,,,,,,,,,1,1,1,10,1,1
,001,2023-08-17_12h42.20.500,choiceRTT,2023.1.3,MacIntel,59.99880002,,0,,,0.038398438,-0.247630208,1,0,0,1.9673,square_button,0.8673,,,,,,,1.1,images/target_square.jpg,,,,,,,,,1,1,2,11,5,1
,001,2023-08-17_12h42.20.500,choiceRTT,2023.1.3,MacIntel,59.99880002,,0,,,-0.191575521,-0.236814236,1,0,0,2.3482,cross_button,1.0482,,,,,,,1.3,images/target_cross.jpg,,,,,,,,,1,1,3,12,3,1
,001,2023-08-17_12h42.20.500,choiceRTT,2023.1.3,MacIntel,59.99880002,,0,,,-0.274583333,-0.241757813,1,0,0,2.2856,cross_button,0.7856,,,,,,,1.5,images/target_cross.jpg,,,,,,,,,1,1,4,13,6,1
,001,2023-08-17_12h42.20.500,choiceRTT,2023.1.3,MacIntel,59.99880002,,0,,,-0.009822049,-0.251757813,1,0,0,1.9821,square_button,0.6821,,,,,,,1.3,images/target_square.jpg,,,,,,,,,1,1,5,14,8,1
,001,2023-08-17_12h42.20.500,choiceRTT,2023.1.3,MacIntel,59.99880002,,0,,,0.259661458,-0.265946181,1,0,0,2.7453,plus_button,1.6453,,,,,,,1.1,images/target_plus.jpg,,,,,,,,,1,1,6,15,7,1
,001,2023-08-17_12h42.20.500,choiceRTT,2023.1.3,MacIntel,59.99880002,,0,,,0.026788194,-0.240716146,1,0,0,2.2839,square_button,0.7839,,,,,,,1.5,images/target_square.jpg,,,,,,,,,1,1,7,16,2,1
,001,2023-08-17_12h42.20.500,choiceRTT,2023.1.3,MacIntel,59.99880002,,0,,,0.338059896,-0.251844618,1,0,0,2.6834,plus_button,1.1834,,,,,,,1.5,images/target_plus.jpg,,,,,,,,,1,1,8,17,4,1
,001,2023-08-17_12h42.20.500,choiceRTT,2023.1.3,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
