participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,keyResp.rt,keyResp.duration,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage
e,001,2023-11-11_16h51.00.663,choiceRTT,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,
e,001,2023-11-11_16h51.00.663,choiceRTT,2023.1.3,MacIntel,60.0024001,c,1,10.9079,,-0.210138889,-0.364765625,1,0,0,9.1614,,9.6079,,0,0,0,3,1,1.3,images/target_cross.jpg
