keyResp.keys,keyResp.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,correctMouseResp,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
,0,0.028395062,-0.255555556,1,0,0,1.746,square_button,0,0.246,,0,0,0,4,1,1.5,images/target_plus.jpg,;),001,2022-07-26_13h47.48.311,choiceRTT,2021.2.3,MacIntel,30.3030303,,,,,,,,,,,
,0,0.025925926,-0.266666667,1,0,0,2.082,square_button,1,0.782,,0,1,1,8,1,1.3,images/target_square.jpg,;),001,2022-07-26_13h47.48.311,choiceRTT,2021.2.3,MacIntel,30.3030303,,,,,,,,,,,
,0,-0.039506173,-0.27654321,1,0,0,2.027,square_button,1,0.527,,0,2,2,2,1,1.5,images/target_square.jpg,;),001,2022-07-26_13h47.48.311,choiceRTT,2021.2.3,MacIntel,30.3030303,,,,,,,,,,,
,0,-0.007407407,-0.264197531,1,0,0,1.765,square_button,1,0.665,,0,3,3,5,1,1.1,images/target_square.jpg,;),001,2022-07-26_13h47.48.311,choiceRTT,2021.2.3,MacIntel,30.3030303,,,,,,,,,,,
,0,-0.187654321,-0.248148148,1,0,0,1.837,cross_button,0,0.537,,0,4,4,1,1,1.3,images/target_plus.jpg,;),001,2022-07-26_13h47.48.311,choiceRTT,2021.2.3,MacIntel,30.3030303,,,,,,,,,,,
,0,-0.251851852,-0.25308642,1,0,0,2.212,cross_button,1,1.112,,0,5,5,0,1,1.1,images/target_cross.jpg,;),001,2022-07-26_13h47.48.311,choiceRTT,2021.2.3,MacIntel,30.3030303,,,,,,,,,,,
,0,-0.22962963,-0.250617284,1,0,0,2.471,cross_button,1,1.171,,0,6,6,3,1,1.3,images/target_cross.jpg,;),001,2022-07-26_13h47.48.311,choiceRTT,2021.2.3,MacIntel,30.3030303,,,,,,,,,,,
,0,0.227160494,-0.254320988,1,0,0,1.653,plus_button,1,0.553,,0,7,7,7,1,1.1,images/target_plus.jpg,;),001,2022-07-26_13h47.48.311,choiceRTT,2021.2.3,MacIntel,30.3030303,,,,,,,,,,,
,0,-0.019753086,-0.4,1,0,0,5.884,square_button,0,4.384,,0,8,8,6,1,1.5,images/target_cross.jpg,;),001,2022-07-26_13h47.48.311,choiceRTT,2021.2.3,MacIntel,30.3030303,,,,,,,,,,,
,0,-0.244505495,-0.226648352,1,0,0,2.092,cross_button,1,0.992,,,,,,,1.1,images/target_cross.jpg,;),001,2022-07-26_13h47.48.311,choiceRTT,2021.2.3,MacIntel,30.3030303,,0.052197802,-0.23489011,1,0,0,0,0,0,0,1
,0,-0.07967033,-0.357142857,1,0,0,0.184,square_button,1,-1.316,,,,,,,1.5,images/target_square.jpg,;),001,2022-07-26_13h47.48.311,choiceRTT,2021.2.3,MacIntel,30.3030303,,,,,,,0,1,1,2,1
,0,0.005494505,-0.399725275,1,0,0,0.209,plus_button,1,-1.091,,,,,,,1.3,images/target_plus.jpg,;),001,2022-07-26_13h47.48.311,choiceRTT,2021.2.3,MacIntel,30.3030303,,,,,,,0,2,2,1,1
,0,-0.244505495,-0.26510989,1,0,0,2.3,cross_button,1,0.8,,,,,,,1.5,images/target_cross.jpg,;),001,2022-07-26_13h47.48.311,choiceRTT,2021.2.3,MacIntel,30.3030303,,,,,,,0,3,3,6,1
,0,0.026098901,-0.226648352,1,0,0,1.831,square_button,1,0.731,,,,,,,1.1,images/target_square.jpg,;),001,2022-07-26_13h47.48.311,choiceRTT,2021.2.3,MacIntel,30.3030303,,,,,,,0,4,4,5,1
,0,0.254120879,-0.240384615,1,0,0,1.739,plus_button,1,0.639,,,,,,,1.1,images/target_plus.jpg,;),001,2022-07-26_13h47.48.311,choiceRTT,2021.2.3,MacIntel,30.3030303,,,,,,,0,5,5,7,1
,0,0,-0.251373626,1,0,0,1.944,square_button,1,0.644,,,,,,,1.3,images/target_square.jpg,;),001,2022-07-26_13h47.48.311,choiceRTT,2021.2.3,MacIntel,30.3030303,,,,,,,0,6,6,8,1
,0,-0.184065934,-0.233516484,1,0,0,2.084,cross_button,1,0.784,,,,,,,1.3,images/target_cross.jpg,;),001,2022-07-26_13h47.48.311,choiceRTT,2021.2.3,MacIntel,30.3030303,,,,,,,0,7,7,3,1
,0,0.260989011,-0.240384615,1,0,0,2.097,plus_button,1,0.597,,,,,,,1.5,images/target_plus.jpg,;),001,2022-07-26_13h47.48.311,choiceRTT,2021.2.3,MacIntel,30.3030303,,,,,,,0,8,8,4,1
,0,0.019230769,-0.251373626,1,0,0,2.137,square_button,1,0.637,,,,,,,1.5,images/target_square.jpg,;),001,2022-07-26_13h47.48.311,choiceRTT,2021.2.3,MacIntel,30.3030303,,,,,,,1,0,9,2,1
,0,0.298076923,-0.230769231,1,0,0,2.321,plus_button,1,0.821,,,,,,,1.5,images/target_plus.jpg,;),001,2022-07-26_13h47.48.311,choiceRTT,2021.2.3,MacIntel,30.3030303,,,,,,,1,1,10,4,1
,0,0,-0.26510989,1,0,0,1.835,square_button,1,0.735,,,,,,,1.1,images/target_square.jpg,;),001,2022-07-26_13h47.48.311,choiceRTT,2021.2.3,MacIntel,30.3030303,,,,,,,1,2,11,5,1
,0,-0.020604396,-0.247252747,1,0,0,1.913,square_button,1,0.613,,,,,,,1.3,images/target_square.jpg,;),001,2022-07-26_13h47.48.311,choiceRTT,2021.2.3,MacIntel,30.3030303,,,,,,,1,3,12,8,1
,0,0.274725275,-0.258241758,1,0,0,1.965,plus_button,1,0.665,,,,,,,1.3,images/target_plus.jpg,;),001,2022-07-26_13h47.48.311,choiceRTT,2021.2.3,MacIntel,30.3030303,,,,,,,1,4,13,1,1
,0,-0.221153846,-0.23489011,1,0,0,1.901,cross_button,1,0.801,,,,,,,1.1,images/target_cross.jpg,;),001,2022-07-26_13h47.48.311,choiceRTT,2021.2.3,MacIntel,30.3030303,,,,,,,1,5,14,0,1
,0,-0.226648352,-0.296703297,1,0,0,1.809,cross_button,1,0.509,,,,,,,1.3,images/target_cross.jpg,;),001,2022-07-26_13h47.48.311,choiceRTT,2021.2.3,MacIntel,30.3030303,,,,,,,1,6,15,3,1
,0,-0.196428571,-0.266483516,1,0,0,2.049,cross_button,1,0.549,,,,,,,1.5,images/target_cross.jpg,;),001,2022-07-26_13h47.48.311,choiceRTT,2021.2.3,MacIntel,30.3030303,,,,,,,1,7,16,6,1
,0,0.293956044,-0.240384615,1,0,0,1.848,plus_button,1,0.748,,,,,,,1.1,images/target_plus.jpg,;),001,2022-07-26_13h47.48.311,choiceRTT,2021.2.3,MacIntel,30.3030303,,,,,,,1,8,17,7,1
