participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,keyResp.rt,keyResp.duration,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,moveOnKeys.duration,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,correctMouseResp
gb,001,2023-11-30_12h05.29.655,choiceRTT,2023.1.3,Win32,4.286032677,,,,,,,,,,,,,,,,,,,,,,,
gb,001,2023-11-30_12h05.29.655,choiceRTT,2023.1.3,Win32,4.286032677,c,1,2.6931,,,,,,,,,1.3931,space,6.0303,0.0002,0,0,0,3,1,1.3,images/target_cross.jpg,
gb,001,2023-11-30_12h05.29.655,choiceRTT,2023.1.3,Win32,4.286032677,v,0,4.3784,0.0003,,,,,,,,3.2784,space,2.5156,,0,1,1,7,1,1.1,images/target_plus.jpg,
gb,001,2023-11-30_12h05.29.655,choiceRTT,2023.1.3,Win32,4.286032677,,0,,,0.030555556,-0.258333333,1,0,0,5.5792,square_button,4.0792,space,1.127,,0,2,2,6,1,1.5,images/target_cross.jpg,0
gb,001,2023-11-30_12h05.29.655,choiceRTT,2023.1.3,Win32,4.286032677,,0,,,0.086111111,0.044444444,1,0,0,2.2275,square_button,0.9275,space,0.8794,,0,3,3,8,1,1.3,images/target_square.jpg,1
gb,001,2023-11-30_12h05.29.655,choiceRTT,2023.1.3,Win32,4.286032677,c,1,5.1553,,,,,,,,,4.0553,space,2.9104,0.0002,0,4,4,0,1,1.1,images/target_cross.jpg,
gb,001,2023-11-30_12h05.29.655,choiceRTT,2023.1.3,Win32,4.286032677,,0,,,-0.27037037,-0.251851852,1,0,0,1.3736,cross_button,-0.1264,space,1.709,,0,5,5,4,1,1.5,images/target_plus.jpg,0
gb,001,2023-11-30_12h05.29.655,choiceRTT,2023.1.3,Win32,4.286032677,v,1,12.5606,0.0002,,,,,,,,11.4606,space,2.251,0.0002,0,6,6,5,1,1.1,images/target_square.jpg,
