response.keys,response.corr,response.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate
n,0,5.04399991,0.061111111,-0.103703704,1,0,0,1,0,8,6,1,7,1,0.125,b,,001,2021-01-29_13h34.26.209,choiceRTT,3.1.3,60
c,1,2.059999943,0.061111111,-0.103703704,0,0,0,1,0,8,0,1,7,1,-0.375,c,,001,2021-01-29_13h34.26.209,choiceRTT,3.1.3,60
