keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,moveOnKeys.rt,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
v,1,3.719,,,,,,,,2.219,,0,0,0,2,1,1.5,images/target_square.jpg,,001,2022-04-07_10h43.40.717,choiceRTT,2021.2.3,Win32,60.0240096,,,,,,,,,,,,
c,1,2.743,,,,,,,,1.643,space,0,1,1,0,1,1.1,images/target_cross.jpg,,001,2022-04-07_10h43.40.717,choiceRTT,2021.2.3,Win32,60.0240096,2.278,,,,,,,,,,,
v,0,2.275,,,,,,,,1.175,b,0,2,2,7,1,1.1,images/target_plus.jpg,,001,2022-04-07_10h43.40.717,choiceRTT,2021.2.3,Win32,60.0240096,0.177,,,,,,,,,,,
b,1,3.072,,,,,,,,1.772,,0,3,3,1,1,1.3,images/target_plus.jpg,,001,2022-04-07_10h43.40.717,choiceRTT,2021.2.3,Win32,60.0240096,,,,,,,,,,,,
c,1,2.862,,,,,,,,1.562,,0,4,4,3,1,1.3,images/target_cross.jpg,,001,2022-04-07_10h43.40.717,choiceRTT,2021.2.3,Win32,60.0240096,,,,,,,,,,,,
v,1,2.606,,,,,,,,1.306,,0,5,5,8,1,1.3,images/target_square.jpg,,001,2022-04-07_10h43.40.717,choiceRTT,2021.2.3,Win32,60.0240096,,,,,,,,,,,,
v,1,2.058,,,,,,,,0.958,,0,6,6,5,1,1.1,images/target_square.jpg,,001,2022-04-07_10h43.40.717,choiceRTT,2021.2.3,Win32,60.0240096,,,,,,,,,,,,
b,0,1.99,,,,,,,,0.49,,0,7,7,6,1,1.5,images/target_cross.jpg,,001,2022-04-07_10h43.40.717,choiceRTT,2021.2.3,Win32,60.0240096,,,,,,,,,,,,
v,0,2.159,,,,,,,,0.659,space,0,8,8,4,1,1.5,images/target_plus.jpg,,001,2022-04-07_10h43.40.717,choiceRTT,2021.2.3,Win32,60.0240096,0.615,,,,,,,,,,,
c,0,2.731,,,,,,,,1.431,,,,,,,1.3,images/target_square.jpg,,001,2022-04-07_10h43.40.717,choiceRTT,2021.2.3,Win32,60.0240096,,,0.094444444,-0.139814815,1,0,0,0,0,0,8,1
