keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,correctMouseResp,key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
c,1,7.9396,,,,,,,,6.4396,space,2.4326,0,0,0,6,1,1.5,images/target_cross.jpg,,001,2022-06-30_14h56.50.458,choiceRTT,2021.2.3,Win32,60.03121623,,,,,,,,,,,,,
c,1,1.7908,,,,,,,,0.4908,,,0,1,1,3,1,1.3,images/target_cross.jpg,,001,2022-06-30_14h56.50.458,choiceRTT,2021.2.3,Win32,60.03121623,,,,,,,,,,,,,
,0,,0.056481467,-0.243518547,1,0,0,2.859,square_button,1.759,c,2.9689,0,2,2,0,1,1.1,images/target_cross.jpg,,001,2022-06-30_14h56.50.458,choiceRTT,2021.2.3,Win32,60.03121623,0,,,,,,,,,,,,
v,1,4.7227,,,,,,,,3.6227,space,1.5227,0,3,3,5,1,1.1,images/target_square.jpg,,001,2022-06-30_14h56.50.458,choiceRTT,2021.2.3,Win32,60.03121623,,,,,,,,,,,,,
b,0,4.0358,,,,,,,,2.5358,space,0.917,0,4,4,2,1,1.5,images/target_square.jpg,,001,2022-06-30_14h56.50.458,choiceRTT,2021.2.3,Win32,60.03121623,,,,,,,,,,,,,
c,0,2.4118,,,,,,,,1.1118,space,0.9164,0,5,5,1,1,1.3,images/target_plus.jpg,,001,2022-06-30_14h56.50.458,choiceRTT,2021.2.3,Win32,60.03121623,,,,,,,,,,,,,
c,0,11.5241,,,,,,,,10.2241,b,0.1999,0,6,6,8,1,1.3,images/target_square.jpg,,001,2022-06-30_14h56.50.458,choiceRTT,2021.2.3,Win32,60.03121623,,,,,,,,,,,,,
c,0,1.8194,,,,,,,,0.7194,space,2.333,0,7,7,7,1,1.1,images/target_plus.jpg,,001,2022-06-30_14h56.50.458,choiceRTT,2021.2.3,Win32,60.03121623,,,,,,,,,,,,,
b,1,2.0919,,,,,,,,0.5919,space,1.8373,0,8,8,4,1,1.5,images/target_plus.jpg,,001,2022-06-30_14h56.50.458,choiceRTT,2021.2.3,Win32,60.03121623,,,,,,,,,,,,,
c,1,2.3264,,,,,,,,1.2264,,,,,,,,1.1,images/target_cross.jpg,,001,2022-06-30_14h56.50.458,choiceRTT,2021.2.3,Win32,60.03121623,,space,2.235,0.172222208,-0.166666667,0,0,0,0,0,0,0,1
