my.response.keys, my.response.corr, my.response.rt, my.mouseResp.x, my.mouseResp.y, my.mouseResp.leftButton, my.mouseResp.midButton, my.mouseResp.rightButton, my.mouseResp.RT, my.mouseResp.clicked_name, my.practiceTrials.thisRepN, my.practiceTrials.thisTrialN, my.practiceTrials.thisN, my.practiceTrials.thisIndex, my.practiceTrials.ran, my.practiceTrials.order, isi, xPos, corrAns, participant, session, date, expName, frameRate, my.practiceTrials.thisRepN, my.practiceTrials.thisTrialN, my.practiceTrials.thisN, my.practiceTrials.thisIndex, my.practiceTrials.ran, my.practiceTrials.order, isi, xPos, corrAns, my.mainTrials.thisRepN, my.mainTrials.thisTrialN, my.mainTrials.thisN, my.mainTrials.thisIndex, my.mainTrials.ran, my.mainTrials.order, isi, xPos, corrAns, participant, session, date, expName, frameRate
, 0, , -0.3861111111111111, 0.006944444444444444, 1, 0, 0, 0.7840000000000007, my.targImage, 1, 0, 8, 7, 1, 7, 1, 0.375, n, lkjhkj,, 001, Sun Jul 29 2018 15:37:51 GMT+0100 (British Summer Time), choiceRTT, 60, 1, 0, 8, 7, 1, 7, 1, 0.375, n, undefined, undefined, undefined, undefined, undefined, undefined, 1, 0.375, n, lkjhkj,, 001, Sun Jul 29 2018 15:37:51 GMT+0100 (British Summer Time), choiceRTT, 60
, 0, , 0.1527777777777778, 0.010416666666666666, 1, 0, 0, 0.6159999999999997, my.targImage, 1, 0, 8, 7, 1, 7, 1, 0.375, n, lkjhkj,, 001, Sun Jul 29 2018 15:37:51 GMT+0100 (British Summer Time), choiceRTT, 60, 1, 0, 8, 7, 1, 7, 1, 0.375, n, undefined, undefined, undefined, undefined, undefined, undefined, 1, 0.375, n, lkjhkj,, 001, Sun Jul 29 2018 15:37:51 GMT+0100 (British Summer Time), choiceRTT, 60
, 0, , 0.4125, 0.004861111111111111, 1, 0, 0, 0.4499999999999993, my.targImage, 1, 0, 8, 7, 1, 7, 1, 0.375, n, lkjhkj,, 001, Sun Jul 29 2018 15:37:51 GMT+0100 (British Summer Time), choiceRTT, 60, 1, 0, 8, 7, 1, 7, 1, 0.375, n, undefined, undefined, undefined, undefined, undefined, undefined, 1, 0.375, n, lkjhkj,, 001, Sun Jul 29 2018 15:37:51 GMT+0100 (British Summer Time), choiceRTT, 60
, 0, , -0.3298611111111111, -0.020833333333333332, 1, 0, 0, 0.5670000000000002, my.targImage, 1, 0, 8, 7, 1, 7, 1, 0.375, n, lkjhkj,, 001, Sun Jul 29 2018 15:37:51 GMT+0100 (British Summer Time), choiceRTT, 60, 1, 0, 8, 7, 1, 7, 1, 0.375, n, undefined, undefined, undefined, undefined, undefined, undefined, 1, 0.375, n, lkjhkj,, 001, Sun Jul 29 2018 15:37:51 GMT+0100 (British Summer Time), choiceRTT, 60
, 0, , -0.11597222222222223, 0.004861111111111111, 1, 0, 0, 0.48300000000000054, my.targImage, 1, 0, 8, 7, 1, 7, 1, 0.375, n, lkjhkj,, 001, Sun Jul 29 2018 15:37:51 GMT+0100 (British Summer Time), choiceRTT, 60, 1, 0, 8, 7, 1, 7, 1, 0.375, n, undefined, undefined, undefined, undefined, undefined, undefined, 1, 0.375, n, lkjhkj,, 001, Sun Jul 29 2018 15:37:51 GMT+0100 (British Summer Time), choiceRTT, 60
, 0, , 0.10902777777777778, 0.004166666666666667, 1, 0, 0, 0.43400000000000105, my.targImage, 1, 0, 8, 7, 1, 7, 1, 0.375, n, lkjhkj,, 001, Sun Jul 29 2018 15:37:51 GMT+0100 (British Summer Time), choiceRTT, 60, 1, 0, 8, 7, 1, 7, 1, 0.375, n, undefined, undefined, undefined, undefined, undefined, undefined, 1, 0.375, n, lkjhkj,, 001, Sun Jul 29 2018 15:37:51 GMT+0100 (British Summer Time), choiceRTT, 60
, 0, , -0.14583333333333334, 0.022222222222222223, 1, 0, 0, 0.3670000000000009, my.targImage, 1, 0, 8, 7, 1, 7, 1, 0.375, n, lkjhkj,, 001, Sun Jul 29 2018 15:37:51 GMT+0100 (British Summer Time), choiceRTT, 60, 1, 0, 8, 7, 1, 7, 1, 0.375, n, undefined, undefined, undefined, undefined, undefined, undefined, 1, 0.375, n, lkjhkj,, 001, Sun Jul 29 2018 15:37:51 GMT+0100 (British Summer Time), choiceRTT, 60
, 0, , 0.28958333333333336, 0.006944444444444444, 1, 0, 0, 0.43299999999999983, my.targImage, 1, 0, 8, 7, 1, 7, 1, 0.375, n, lkjhkj,, 001, Sun Jul 29 2018 15:37:51 GMT+0100 (British Summer Time), choiceRTT, 60, 1, 0, 8, 7, 1, 7, 1, 0.375, n, undefined, undefined, undefined, undefined, undefined, undefined, 1, 0.375, n, lkjhkj,, 001, Sun Jul 29 2018 15:37:51 GMT+0100 (British Summer Time), choiceRTT, 60
, 0, , 0.10277777777777777, 0.011111111111111112, 1, 0, 0, 0.44899999999999807, my.targImage, undefined, undefined, undefined, undefined, undefined, undefined, 1.8888, 0.375, n, lkjhkj,, 001, Sun Jul 29 2018 15:37:51 GMT+0100 (British Summer Time), choiceRTT, 60, undefined, undefined, undefined, undefined, undefined, undefined, 1.8888, 0.375, n, 1, 0, 40, 19, 1, 39, 1.8888, 0.375, n, lkjhkj,, 001, Sun Jul 29 2018 15:37:51 GMT+0100 (British Summer Time), choiceRTT, 60
, 0, , 0.08541666666666667, 0.011111111111111112, 1, 0, 0, 0.31700000000000017, my.targImage, undefined, undefined, undefined, undefined, undefined, undefined, 1.8888, 0.375, n, lkjhkj,, 001, Sun Jul 29 2018 15:37:51 GMT+0100 (British Summer Time), choiceRTT, 60, undefined, undefined, undefined, undefined, undefined, undefined, 1.8888, 0.375, n, 1, 0, 40, 19, 1, 39, 1.8888, 0.375, n, lkjhkj,, 001, Sun Jul 29 2018 15:37:51 GMT+0100 (British Summer Time), choiceRTT, 60
, 0, , -0.18055555555555555, 0.01597222222222222, 1, 0, 0, 0.34899999999999665, my.targImage, undefined, undefined, undefined, undefined, undefined, undefined, 1.8888, 0.375, n, lkjhkj,, 001, Sun Jul 29 2018 15:37:51 GMT+0100 (British Summer Time), choiceRTT, 60, undefined, undefined, undefined, undefined, undefined, undefined, 1.8888, 0.375, n, 1, 0, 40, 19, 1, 39, 1.8888, 0.375, n, lkjhkj,, 001, Sun Jul 29 2018 15:37:51 GMT+0100 (British Summer Time), choiceRTT, 60
