response.keys,response.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.clicked_name,participant,session,date,expName,psychopyVersion,frameRate
,0,0.376766091,0.007064364,1,0,0,targImage,001,001,2019-09-17_08h29.38.957,choiceRTT,3.1.3,60
,0,-0.36577708,0.003924647,1,0,0,targImage,001,001,2019-09-17_08h29.38.957,choiceRTT,3.1.3,60
,0,0.124018838,0.013343799,1,0,0,targImage,001,001,2019-09-17_08h29.38.957,choiceRTT,3.1.3,60
,0,0.357927786,0.043171115,1,0,0,targImage,001,001,2019-09-17_08h29.38.957,choiceRTT,3.1.3,60
,0,-0.133437991,-0.043171115,1,0,0,targImage,001,001,2019-09-17_08h29.38.957,choiceRTT,3.1.3,60
,0,-0.086342229,-0.021193093,1,0,0,targImage,001,001,2019-09-17_08h29.38.957,choiceRTT,3.1.3,60
,0,0.156985871,0.008634223,1,0,0,targImage,001,001,2019-09-17_08h29.38.957,choiceRTT,3.1.3,60
,0,-0.37833595,0.013343799,1,0,0,targImage,001,001,2019-09-17_08h29.38.957,choiceRTT,3.1.3,60
,0,-0.141141141,0.015015015,1,0,0,targImage,001,001,2019-09-17_08h29.38.957,choiceRTT,3.1.3,60
,0,0.403903904,0.034534535,1,0,0,targImage,001,001,2019-09-17_08h29.38.957,choiceRTT,3.1.3,60
,0,-0.15015015,0,1,0,0,targImage,001,001,2019-09-17_08h29.38.957,choiceRTT,3.1.3,60
,0,0.127627628,0.016516517,1,0,0,targImage,001,001,2019-09-17_08h29.38.957,choiceRTT,3.1.3,60
,0,0.388888889,0.001501502,1,0,0,targImage,001,001,2019-09-17_08h29.38.957,choiceRTT,3.1.3,60
,0,0.117117117,0.036036036,1,0,0,targImage,001,001,2019-09-17_08h29.38.957,choiceRTT,3.1.3,60
,0,-0.385885886,0.022522523,1,0,0,targImage,001,001,2019-09-17_08h29.38.957,choiceRTT,3.1.3,60
,0,0.103603604,0.016516517,1,0,0,targImage,001,001,2019-09-17_08h29.38.957,choiceRTT,3.1.3,60
,0,-0.094594595,-0.007507508,1,0,0,targImage,001,001,2019-09-17_08h29.38.957,choiceRTT,3.1.3,60
,0,0.132132132,-0.021021021,1,0,0,targImage,001,001,2019-09-17_08h29.38.957,choiceRTT,3.1.3,60
,0,0.364864865,-0.016516517,1,0,0,targImage,001,001,2019-09-17_08h29.38.957,choiceRTT,3.1.3,60
,0,-0.088588589,0.046546547,1,0,0,targImage,001,001,2019-09-17_08h29.38.957,choiceRTT,3.1.3,60
,0,-0.400900901,0.031531532,1,0,0,targImage,001,001,2019-09-17_08h29.38.957,choiceRTT,3.1.3,60
,0,-0.102102102,-0.021021021,1,0,0,targImage,001,001,2019-09-17_08h29.38.957,choiceRTT,3.1.3,60
,0,-0.129129129,0.010510511,1,0,0,targImage,001,001,2019-09-17_08h29.38.957,choiceRTT,3.1.3,60
,0,-0.37987988,0.013513514,1,0,0,targImage,001,001,2019-09-17_08h29.38.957,choiceRTT,3.1.3,60
,0,-0.148648649,-0.015015015,1,0,0,targImage,001,001,2019-09-17_08h29.38.957,choiceRTT,3.1.3,60
,0,0.459459459,0.06006006,1,0,0,targImage,001,001,2019-09-17_08h29.38.957,choiceRTT,3.1.3,60
,0,-0.351351351,-0.013513514,1,0,0,targImage,001,001,2019-09-17_08h29.38.957,choiceRTT,3.1.3,60
,0,-0.39039039,0,1,0,0,targImage,001,001,2019-09-17_08h29.38.957,choiceRTT,3.1.3,60
,0,0.382882883,-0.024024024,1,0,0,targImage,001,001,2019-09-17_08h29.38.957,choiceRTT,3.1.3,60
,0,0.141141141,0.031531532,1,0,0,targImage,001,001,2019-09-17_08h29.38.957,choiceRTT,3.1.3,60
,0,0.441441441,0.012012012,1,0,0,targImage,001,001,2019-09-17_08h29.38.957,choiceRTT,3.1.3,60
,0,-0.355855856,-0.003003003,1,0,0,targImage,001,001,2019-09-17_08h29.38.957,choiceRTT,3.1.3,60
,0,0.105105105,-0.037537538,1,0,0,targImage,001,001,2019-09-17_08h29.38.957,choiceRTT,3.1.3,60
,0,-0.387387387,-0.039039039,1,0,0,targImage,001,001,2019-09-17_08h29.38.957,choiceRTT,3.1.3,60
,0,0.181681682,-0.039039039,1,0,0,targImage,001,001,2019-09-17_08h29.38.957,choiceRTT,3.1.3,60
,0,0.136636637,-0.045045045,1,0,0,targImage,001,001,2019-09-17_08h29.38.957,choiceRTT,3.1.3,60
,0,-0.385885886,-0.043543544,1,0,0,targImage,001,001,2019-09-17_08h29.38.957,choiceRTT,3.1.3,60
,0,0.423423423,-0.054054054,1,0,0,targImage,001,001,2019-09-17_08h29.38.957,choiceRTT,3.1.3,60
,0,-0.181681682,0.046546547,1,0,0,targImage,001,001,2019-09-17_08h29.38.957,choiceRTT,3.1.3,60
,0,-0.432432432,-0.046546547,1,0,0,targImage,001,001,2019-09-17_08h29.38.957,choiceRTT,3.1.3,60
,0,0.147147147,-0.046546547,1,0,0,targImage,001,001,2019-09-17_08h29.38.957,choiceRTT,3.1.3,60
,0,-0.154654655,0.031531532,1,0,0,targImage,001,001,2019-09-17_08h29.38.957,choiceRTT,3.1.3,60
,0,-0.117117117,0.022522523,1,0,0,targImage,001,001,2019-09-17_08h29.38.957,choiceRTT,3.1.3,60
,0,0.408408408,-0.078078078,1,0,0,targImage,001,001,2019-09-17_08h29.38.957,choiceRTT,3.1.3,60
,0,0.421921922,0.081081081,1,0,0,targImage,001,001,2019-09-17_08h29.38.957,choiceRTT,3.1.3,60
,0,-0.34984985,0.001501502,1,0,0,targImage,001,001,2019-09-17_08h29.38.957,choiceRTT,3.1.3,60
,0,0.393393393,-0.018018018,1,0,0,targImage,001,001,2019-09-17_08h29.38.957,choiceRTT,3.1.3,60
,0,0.138138138,0.027027027,1,0,0,targImage,001,001,2019-09-17_08h29.38.957,choiceRTT,3.1.3,60
