keyResp.keys,keyResp.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,correctMouseResp,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.rt,moveOnKeys.rt,key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
,0,-0.015740741,-0.239814815,1,0,0,1.3464,square_button,0,0.0464,,0,0,0,1,1,1.3,images/target_plus.jpg,,001,2022-11-24_10h38.28.620,choiceRTT,2021.2.3,Win32,60.0060006,,,,,,,,,,,,,,
,0,-0.292592593,-0.249074074,1,0,0,2.8314,cross_button,1,1.3314,,0,1,1,6,1,1.5,images/target_cross.jpg,,001,2022-11-24_10h38.28.620,choiceRTT,2021.2.3,Win32,60.0060006,,,,,,,,,,,,,,
,0,0.017592593,-0.287037037,1,0,0,2.156,square_button,1,1.056,,0,2,2,5,1,1.1,images/target_square.jpg,,001,2022-11-24_10h38.28.620,choiceRTT,2021.2.3,Win32,60.0060006,,,,,,,,,,,,,,
,0,0.034259259,-0.265740741,1,0,0,2.1659,square_button,0,0.6659,,0,3,3,4,1,1.5,images/target_plus.jpg,,001,2022-11-24_10h38.28.620,choiceRTT,2021.2.3,Win32,60.0060006,,,,,,,,,,,,,,
c,1,,,,,,,,,5.3905,c,0,4,4,3,1,1.3,images/target_cross.jpg,,001,2022-11-24_10h38.28.620,choiceRTT,2021.2.3,Win32,60.0060006,6.6905,1.901,,,,,,,,,,,,
b,0,,,,,,,,,0.5285,b,0,5,5,2,1,1.5,images/target_square.jpg,,001,2022-11-24_10h38.28.620,choiceRTT,2021.2.3,Win32,60.0060006,2.0285,0.9829,,,,,,,,,,,,
c,1,,,,,,,,,1.0662,space,0,6,6,0,1,1.1,images/target_cross.jpg,,001,2022-11-24_10h38.28.620,choiceRTT,2021.2.3,Win32,60.0060006,2.1662,1.801,,,,,,,,,,,,
v,1,,,,,,,,,0.8388,space,0,7,7,8,1,1.3,images/target_square.jpg,,001,2022-11-24_10h38.28.620,choiceRTT,2021.2.3,Win32,60.0060006,2.1388,0.6235,,,,,,,,,,,,
b,1,,,,,,,,,0.5044,space,0,8,8,7,1,1.1,images/target_plus.jpg,,001,2022-11-24_10h38.28.620,choiceRTT,2021.2.3,Win32,60.0060006,1.6044,0.6997,,,,,,,,,,,,
v,1,,,,,,,,,1.0367,,,,,,,1.1,images/target_square.jpg,,001,2022-11-24_10h38.28.620,choiceRTT,2021.2.3,Win32,60.0060006,2.1367,,space,2.3218,-0.272222222,-0.271296296,0,0,0,0,0,0,5,1
