participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,correctMouseResp,trialRespTimes,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,PracticeLoop.order,onsetTime,thisImage
,001,2024-01-06_22h38.59.777,choiceRTT,2023.1.3,Win32,59.95203837,,,,,,,,,,,,,,,,,,,
,001,2024-01-06_22h38.59.777,choiceRTT,2023.1.3,Win32,59.95203837,,0,-0.224074074,-0.255555556,1,0,0,5.431,cross_button,0,3.931,0,0,0,4,1,8,1.5,images/target_plus.jpg
