keyResp.keys,keyResp.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,correctMouseResp,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.rt,key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
,0,-0.315117188,-0.249900174,1,0,0,2.7643,cross_button,1,1.6643,,0,0,0,0,1,1.1,images/target_cross.jpg,,001,2023-07-04_23h46.30.785,choiceRTT,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,
b,1,,,,,,,,,0.8278,,0,1,1,7,1,1.1,images/target_plus.jpg,,001,2023-07-04_23h46.30.785,choiceRTT,2021.2.3,MacIntel,60.0024001,1.9278,,,,,,,,,,,,
b,1,,,,,,,,,0.5103,,0,2,2,4,1,1.5,images/target_plus.jpg,,001,2023-07-04_23h46.30.785,choiceRTT,2021.2.3,MacIntel,60.0024001,2.0103,,,,,,,,,,,,
v,1,,,,,,,,,0.5613,,0,3,3,2,1,1.5,images/target_square.jpg,,001,2023-07-04_23h46.30.785,choiceRTT,2021.2.3,MacIntel,60.0024001,2.0613,,,,,,,,,,,,
v,1,,,,,,,,,0.4621,,0,4,4,5,1,1.1,images/target_square.jpg,,001,2023-07-04_23h46.30.785,choiceRTT,2021.2.3,MacIntel,60.0024001,1.5621,,,,,,,,,,,,
c,1,,,,,,,,,0.3998,,0,5,5,6,1,1.5,images/target_cross.jpg,,001,2023-07-04_23h46.30.785,choiceRTT,2021.2.3,MacIntel,60.0024001,1.8998,,,,,,,,,,,,
c,0,,,,,,,,,0.4117,,0,6,6,8,1,1.3,images/target_square.jpg,,001,2023-07-04_23h46.30.785,choiceRTT,2021.2.3,MacIntel,60.0024001,1.7117,,,,,,,,,,,,
b,1,,,,,,,,,0.6342,,0,7,7,1,1,1.3,images/target_plus.jpg,,001,2023-07-04_23h46.30.785,choiceRTT,2021.2.3,MacIntel,60.0024001,1.9342,,,,,,,,,,,,
c,1,,,,,,,,,0.5298,,0,8,8,3,1,1.3,images/target_cross.jpg,,001,2023-07-04_23h46.30.785,choiceRTT,2021.2.3,MacIntel,60.0024001,1.8298,,,,,,,,,,,,
c,1,,,,,,,,,0.5715,,,,,,,1.3,images/target_cross.jpg,,001,2023-07-04_23h46.30.785,choiceRTT,2021.2.3,MacIntel,60.0024001,1.8715,space,4.1173,-0.088975694,-0.295490451,0,0,0,0,0,0,3,1
v,1,,,,,,,,,0.5215,,,,,,,1.1,images/target_square.jpg,,001,2023-07-04_23h46.30.785,choiceRTT,2021.2.3,MacIntel,60.0024001,1.6215,,,,,,,,0,1,1,5,1
c,1,,,,,,,,,0.4467,,,,,,,1.5,images/target_cross.jpg,,001,2023-07-04_23h46.30.785,choiceRTT,2021.2.3,MacIntel,60.0024001,1.9467,,,,,,,,0,2,2,6,1
b,0,,,,,,,,,0.4445,,,,,,,1.1,images/target_cross.jpg,,001,2023-07-04_23h46.30.785,choiceRTT,2021.2.3,MacIntel,60.0024001,1.5445,,,,,,,,0,3,3,0,1
v,0,,,,,,,,,-1.4604,,,,,,,1.5,images/target_plus.jpg,,001,2023-07-04_23h46.30.785,choiceRTT,2021.2.3,MacIntel,60.0024001,0.0396,,,,,,,,0,4,4,4,1
v,1,,,,,,,,,0.6227,,,,,,,1.3,images/target_square.jpg,,001,2023-07-04_23h46.30.785,choiceRTT,2021.2.3,MacIntel,60.0024001,1.9227,,,,,,,,0,5,5,8,1
b,1,,,,,,,,,0.6401,,,,,,,1.3,images/target_plus.jpg,,001,2023-07-04_23h46.30.785,choiceRTT,2021.2.3,MacIntel,60.0024001,1.9401,,,,,,,,0,6,6,1,1
b,1,,,,,,,,,0.4921,,,,,,,1.1,images/target_plus.jpg,,001,2023-07-04_23h46.30.785,choiceRTT,2021.2.3,MacIntel,60.0024001,1.5921,,,,,,,,0,7,7,7,1
v,1,,,,,,,,,0.373,,,,,,,1.5,images/target_square.jpg,,001,2023-07-04_23h46.30.785,choiceRTT,2021.2.3,MacIntel,60.0024001,1.873,,,,,,,,0,8,8,2,1
c,1,,,,,,,,,0.3459,,,,,,,1.5,images/target_cross.jpg,,001,2023-07-04_23h46.30.785,choiceRTT,2021.2.3,MacIntel,60.0024001,1.8459,,,,,,,,1,0,9,6,1
v,1,,,,,,,,,0.5955,,,,,,,1.1,images/target_square.jpg,,001,2023-07-04_23h46.30.785,choiceRTT,2021.2.3,MacIntel,60.0024001,1.6955,,,,,,,,1,1,10,5,1
c,0,,,,,,,,,0.4087,,,,,,,1.3,images/target_plus.jpg,,001,2023-07-04_23h46.30.785,choiceRTT,2021.2.3,MacIntel,60.0024001,1.7087,,,,,,,,1,2,11,1,1
b,1,,,,,,,,,0.706,,,,,,,1.1,images/target_plus.jpg,,001,2023-07-04_23h46.30.785,choiceRTT,2021.2.3,MacIntel,60.0024001,1.806,,,,,,,,1,3,12,7,1
v,1,,,,,,,,,0.5881,,,,,,,1.3,images/target_square.jpg,,001,2023-07-04_23h46.30.785,choiceRTT,2021.2.3,MacIntel,60.0024001,1.8881,,,,,,,,1,4,13,8,1
v,1,,,,,,,,,0.5601,,,,,,,1.5,images/target_square.jpg,,001,2023-07-04_23h46.30.785,choiceRTT,2021.2.3,MacIntel,60.0024001,2.0601,,,,,,,,1,5,14,2,1
c,1,,,,,,,,,0.4537,,,,,,,1.3,images/target_cross.jpg,,001,2023-07-04_23h46.30.785,choiceRTT,2021.2.3,MacIntel,60.0024001,1.7537,,,,,,,,1,6,15,3,1
b,1,,,,,,,,,0.7653,,,,,,,1.5,images/target_plus.jpg,,001,2023-07-04_23h46.30.785,choiceRTT,2021.2.3,MacIntel,60.0024001,2.2653,,,,,,,,1,7,16,4,1
c,1,,,,,,,,,0.6783,,,,,,,1.1,images/target_cross.jpg,,001,2023-07-04_23h46.30.785,choiceRTT,2021.2.3,MacIntel,60.0024001,1.7783,,,,,,,,1,8,17,0,1
