response.keys,response.corr,response.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,mouseResp.clicked_name,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order
n,1,3.008000135,0.098500977,0.017060547,0,0,0,1,0,8,7,1,7,1,0.375,n,7,001,2020-11-09_14h42.08.490,choiceRTT,3.1.3,60,,,,,,,
,0,,0.098500977,0.017060547,1,0,0,1,0,8,2,1,7,1,0.125,b,7,001,2020-11-09_14h42.08.490,choiceRTT,3.1.3,60,targImage,,,,,,
,0,,-0.359448242,0.000356445,1,0,0,1,0,8,4,1,7,1,-0.375,c,7,001,2020-11-09_14h42.08.490,choiceRTT,3.1.3,60,targImage,,,,,,
,0,,-0.107451172,-0.019697266,1,0,0,1,0,8,5,1,7,1,-0.125,v,7,001,2020-11-09_14h42.08.490,choiceRTT,3.1.3,60,targImage,,,,,,
,0,,0.095683594,-0.020898437,1,0,0,1,0,8,6,1,7,1,0.125,b,7,001,2020-11-09_14h42.08.490,choiceRTT,3.1.3,60,targImage,,,,,,
,0,,-0.151870117,-0.011938477,1,0,0,1,0,8,1,1,7,1,-0.125,v,7,001,2020-11-09_14h42.08.490,choiceRTT,3.1.3,60,targImage,,,,,,
,0,,-0.394331055,-0.0175,1,0,0,1,0,8,0,1,7,1,-0.375,c,7,001,2020-11-09_14h42.08.490,choiceRTT,3.1.3,60,targImage,,,,,,
,0,,0.395253906,-0.009140625,1,0,0,1,0,8,3,1,7,1,0.375,n,7,001,2020-11-09_14h42.08.490,choiceRTT,3.1.3,60,targImage,,,,,,
,0,,0.071269531,-0.042177734,1,0,0,,,,,,,2.9998,0.125,b,7,001,2020-11-09_14h42.08.490,choiceRTT,3.1.3,60,targImage,1,0,40,38,1,39
,0,,0.461484375,-0.059453125,1,0,0,,,,,,,1,0.375,n,7,001,2020-11-09_14h42.08.490,choiceRTT,3.1.3,60,targImage,1,0,40,3,1,39
