keyResp.keys,keyResp.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,correctMouseResp,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran,keyResp.rt
,0,0.229629646,-0.2388889,1,0,0,8.6269,plus_button,1,7.1269,,0,0,0,4,1,1.5,images/target_plus.jpg,,001,2022-03-19_13h22.32.679,choiceRTT,2021.2.3,Win32,30.49617273,,,,,,,,,,,,
,0,-0.26388888,-0.232407418,1,0,0,5.8279,cross_button,0,4.5279,,0,1,1,8,1,1.3,images/target_square.jpg,,001,2022-03-19_13h22.32.679,choiceRTT,2021.2.3,Win32,30.49617273,,,,,,,,,,,,
,0,-0.025925857,-0.231481492,1,0,0,2.3369,square_button,0,1.2369,,0,2,2,0,1,1.1,images/target_cross.jpg,,001,2022-03-19_13h22.32.679,choiceRTT,2021.2.3,Win32,30.49617273,,,,,,,,,,,,
,0,0.02500007,-0.230555566,1,0,0,4.5945,square_button,0,3.0945,,0,3,3,6,1,1.5,images/target_cross.jpg,,001,2022-03-19_13h22.32.679,choiceRTT,2021.2.3,Win32,30.49617273,,,,,,,,,,,,
,0,0.211111128,-0.210185252,1,0,0,2.5686,plus_button,1,1.4686,,0,4,4,7,1,1.1,images/target_plus.jpg,,001,2022-03-19_13h22.32.679,choiceRTT,2021.2.3,Win32,30.49617273,,,,,,,,,,,,
,0,0.211111128,-0.210185252,1,0,0,2.0011,plus_button,1,0.7011,,0,5,5,1,1,1.3,images/target_plus.jpg,,001,2022-03-19_13h22.32.679,choiceRTT,2021.2.3,Win32,30.49617273,,,,,,,,,,,,
,0,-0.182407397,-0.244444456,1,0,0,2.658,cross_button,0,1.558,,0,6,6,5,1,1.1,images/target_square.jpg,,001,2022-03-19_13h22.32.679,choiceRTT,2021.2.3,Win32,30.49617273,,,,,,,,,,,,
,0,0.008333347,-0.228703771,1,0,0,2.3586,square_button,0,1.0586,,0,7,7,3,1,1.3,images/target_cross.jpg,,001,2022-03-19_13h22.32.679,choiceRTT,2021.2.3,Win32,30.49617273,,,,,,,,,,,,
,0,-0.188888878,-0.206481492,1,0,0,2.8002,cross_button,0,1.3002,,0,8,8,2,1,1.5,images/target_square.jpg,,001,2022-03-19_13h22.32.679,choiceRTT,2021.2.3,Win32,30.49617273,,,,,,,,,,,,
,0,-0.188888878,-0.276851863,1,0,0,2.2131,cross_button,0,1.1131,,,,,,,1.1,images/target_square.jpg,,001,2022-03-19_13h22.32.679,choiceRTT,2021.2.3,Win32,30.49617273,,0.004629643,-0.253703715,1,0,0,0,0,0,5,1,
,0,-0.182407397,-0.281481493,1,0,0,2.4234,cross_button,0,0.9234,,,,,,,1.5,images/target_square.jpg,,001,2022-03-19_13h22.32.679,choiceRTT,2021.2.3,Win32,30.49617273,,,,,,,0,1,1,2,1,
