keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate
v,1,8.131,,,,,,,,6.631,,0,0,0,2,1,1.5,images/target_square.jpg,k,001,2022-11-19_23h14.15.605,choiceRTT,2021.2.3,Win32,58.57201429
b,1,2.654099999,,,,,,,,1.354099999,,0,1,1,1,1,1.3,images/target_plus.jpg,k,001,2022-11-19_23h14.15.605,choiceRTT,2021.2.3,Win32,58.57201429
v,1,2.288200001,,,,,,,,0.988200001,,0,2,2,8,1,1.3,images/target_square.jpg,k,001,2022-11-19_23h14.15.605,choiceRTT,2021.2.3,Win32,58.57201429
