response.keys,response.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.clicked_name,participant,session,date,expName,psychopyVersion,frameRate
,0,0.153543307,0.031496063,1,0,0,targImage,Participant,001,2019-09-19_10h04.15.191,choiceRTT,3.1.3,60
,0,0.364173228,0.021653543,1,0,0,targImage,Participant,001,2019-09-19_10h04.15.191,choiceRTT,3.1.3,60
,0,-0.375984252,0.017716535,1,0,0,targImage,Participant,001,2019-09-19_10h04.15.191,choiceRTT,3.1.3,60
,0,0.383858268,0.051181102,1,0,0,targImage,Participant,001,2019-09-19_10h04.15.191,choiceRTT,3.1.3,60
,0,-0.181102362,-0.017716535,1,0,0,targImage,Participant,001,2019-09-19_10h04.15.191,choiceRTT,3.1.3,60
,0,-0.181102362,-0.003937008,1,0,0,targImage,Participant,001,2019-09-19_10h04.15.191,choiceRTT,3.1.3,60
,0,0.116141732,-0.017716535,1,0,0,targImage,Participant,001,2019-09-19_10h04.15.191,choiceRTT,3.1.3,60
,0,-0.328740157,0.025590551,1,0,0,targImage,Participant,001,2019-09-19_10h04.15.191,choiceRTT,3.1.3,60
,0,-0.344488189,0,1,0,0,targImage,Participant,001,2019-09-19_10h04.15.191,choiceRTT,3.1.3,60
,0,-0.147637795,-0.017716535,1,0,0,targImage,Participant,001,2019-09-19_10h04.15.191,choiceRTT,3.1.3,60
,0,0.12992126,0.037401575,1,0,0,targImage,Participant,001,2019-09-19_10h04.15.191,choiceRTT,3.1.3,60
,0,-0.37992126,-0.007874016,1,0,0,targImage,Participant,001,2019-09-19_10h04.15.191,choiceRTT,3.1.3,60
,0,-0.133858268,0.001968504,1,0,0,targImage,Participant,001,2019-09-19_10h04.15.191,choiceRTT,3.1.3,60
,0,0.112204724,0.021653543,1,0,0,targImage,Participant,001,2019-09-19_10h04.15.191,choiceRTT,3.1.3,60
,0,0.114173228,-0.001968504,1,0,0,targImage,Participant,001,2019-09-19_10h04.15.191,choiceRTT,3.1.3,60
,0,0.38976378,0.023622047,1,0,0,targImage,Participant,001,2019-09-19_10h04.15.191,choiceRTT,3.1.3,60
,0,-0.385826772,-0.029527559,1,0,0,targImage,Participant,001,2019-09-19_10h04.15.191,choiceRTT,3.1.3,60
,0,-0.149606299,0,1,0,0,targImage,Participant,001,2019-09-19_10h04.15.191,choiceRTT,3.1.3,60
,0,0.13976378,0.041338583,1,0,0,targImage,Participant,001,2019-09-19_10h04.15.191,choiceRTT,3.1.3,60
,0,0.383858268,0.049212598,1,0,0,targImage,Participant,001,2019-09-19_10h04.15.191,choiceRTT,3.1.3,60
,0,0.116141732,-0.035433071,1,0,0,targImage,Participant,001,2019-09-19_10h04.15.191,choiceRTT,3.1.3,60
,0,-0.102362205,-0.001968504,1,0,0,targImage,Participant,001,2019-09-19_10h04.15.191,choiceRTT,3.1.3,60
,0,0.13976378,0.051181102,1,0,0,targImage,Participant,001,2019-09-19_10h04.15.191,choiceRTT,3.1.3,60
,0,-0.301181102,0.057086614,1,0,0,targImage,Participant,001,2019-09-19_10h04.15.191,choiceRTT,3.1.3,60
,0,-0.187007874,0.011811024,1,0,0,targImage,Participant,001,2019-09-19_10h04.15.191,choiceRTT,3.1.3,60
,0,-0.18503937,0.025590551,1,0,0,targImage,Participant,001,2019-09-19_10h04.15.191,choiceRTT,3.1.3,60
,0,-0.124015748,-0.011811024,1,0,0,targImage,Participant,001,2019-09-19_10h04.15.191,choiceRTT,3.1.3,60
,0,0.133858268,0.027559055,1,0,0,targImage,Participant,001,2019-09-19_10h04.15.191,choiceRTT,3.1.3,60
,0,0.344488189,0.017716535,1,0,0,targImage,Participant,001,2019-09-19_10h04.15.191,choiceRTT,3.1.3,60
,0,0.318897638,0.037401575,1,0,0,targImage,Participant,001,2019-09-19_10h04.15.191,choiceRTT,3.1.3,60
,0,-0.397637795,-0.003937008,1,0,0,targImage,Participant,001,2019-09-19_10h04.15.191,choiceRTT,3.1.3,60
,0,0.143700787,0.017716535,1,0,0,targImage,Participant,001,2019-09-19_10h04.15.191,choiceRTT,3.1.3,60
,0,-0.383858268,0.013779528,1,0,0,targImage,Participant,001,2019-09-19_10h04.15.191,choiceRTT,3.1.3,60
,0,-0.374015748,0.021653543,1,0,0,targImage,Participant,001,2019-09-19_10h04.15.191,choiceRTT,3.1.3,60
,0,0.364173228,0.027559055,1,0,0,targImage,Participant,001,2019-09-19_10h04.15.191,choiceRTT,3.1.3,60
,0,-0.125984252,-0.011811024,1,0,0,targImage,Participant,001,2019-09-19_10h04.15.191,choiceRTT,3.1.3,60
,0,0.377952756,0.043307087,1,0,0,targImage,Participant,001,2019-09-19_10h04.15.191,choiceRTT,3.1.3,60
,0,-0.149606299,0.027559055,1,0,0,targImage,Participant,001,2019-09-19_10h04.15.191,choiceRTT,3.1.3,60
,0,-0.364173228,-0.015748031,1,0,0,targImage,Participant,001,2019-09-19_10h04.15.191,choiceRTT,3.1.3,60
,0,0.387795276,0.051181102,1,0,0,targImage,Participant,001,2019-09-19_10h04.15.191,choiceRTT,3.1.3,60
,0,0.375984252,0.041338583,1,0,0,targImage,Participant,001,2019-09-19_10h04.15.191,choiceRTT,3.1.3,60
,0,0.118110236,-0.011811024,1,0,0,targImage,Participant,001,2019-09-19_10h04.15.191,choiceRTT,3.1.3,60
,0,-0.137795276,-0.023622047,1,0,0,targImage,Participant,001,2019-09-19_10h04.15.191,choiceRTT,3.1.3,60
,0,-0.328740157,0.041338583,1,0,0,targImage,Participant,001,2019-09-19_10h04.15.191,choiceRTT,3.1.3,60
,0,0.116141732,-0.021653543,1,0,0,targImage,Participant,001,2019-09-19_10h04.15.191,choiceRTT,3.1.3,60
,0,-0.381889764,0,1,0,0,targImage,Participant,001,2019-09-19_10h04.15.191,choiceRTT,3.1.3,60
,0,0.383858268,0.027559055,1,0,0,targImage,Participant,001,2019-09-19_10h04.15.191,choiceRTT,3.1.3,60
,0,0.374015748,0.041338583,1,0,0,targImage,Participant,001,2019-09-19_10h04.15.191,choiceRTT,3.1.3,60
