participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,correctMouseResp,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage
,001,2023-10-27_13h29.15.680,choiceRTT,2023.1.3,Win32,59.95203837,,,,,,,,,,,,,,,,,,,
,001,2023-10-27_13h29.15.680,choiceRTT,2023.1.3,Win32,59.95203837,,0,0.236,-0.253,1,0,0,6.044,plus_button,1,4.744,,0,0,0,1,1,1.3,images/target_plus.jpg
,001,2023-10-27_13h29.15.680,choiceRTT,2023.1.3,Win32,59.95203837,,0,0.227,-0.246,1,0,0,2.124,plus_button,1,1.024,,0,1,1,7,1,1.1,images/target_plus.jpg
,001,2023-10-27_13h29.15.680,choiceRTT,2023.1.3,Win32,59.95203837,,0,0.221,-0.249,1,0,0,2.3,plus_button,1,0.8,,0,2,2,4,1,1.5,images/target_plus.jpg
