participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,correctMouseResp,trialRespTimes,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,PracticeLoop.order,onsetTime,thisImage
,001,2023-12-28_14h53.48.576,choiceRTT,2023.1.3,Win32,59.52380952,,,,,,,,,,,,,,,,,,,
,001,2023-12-28_14h53.48.576,choiceRTT,2023.1.3,Win32,59.52380952,,0,0.275925954,-0.271296353,1,0,0,0.3014,plus_button,0,-1.1986,0,0,0,2,1,8,1.5,images/target_square.jpg
