response.keys,response.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.clicked_name,participant,session,date,expName,psychopyVersion,frameRate
,0,0.386111111,-0.007407407,1,0,0,targImage,jjj,001,2019-10-09_23h19.39.857,choiceRTT,3.1.3,60
,0,0.130555556,0.011111111,1,0,0,targImage,jjj,001,2019-10-09_23h19.39.857,choiceRTT,3.1.3,60
,0,0.151851852,0.00462963,1,0,0,targImage,jjj,001,2019-10-09_23h19.39.857,choiceRTT,3.1.3,60
,0,0.387962963,0.009259259,1,0,0,targImage,jjj,001,2019-10-09_23h19.39.857,choiceRTT,3.1.3,60
,0,-0.149074074,-0.003703704,1,0,0,targImage,jjj,001,2019-10-09_23h19.39.857,choiceRTT,3.1.3,60
,0,-0.397222222,-0.012037037,1,0,0,targImage,jjj,001,2019-10-09_23h19.39.857,choiceRTT,3.1.3,60
,0,-0.137037037,0.00462963,1,0,0,targImage,jjj,001,2019-10-09_23h19.39.857,choiceRTT,3.1.3,60
,0,-0.377777778,-0.000925926,1,0,0,targImage,jjj,001,2019-10-09_23h19.39.857,choiceRTT,3.1.3,60
,0,0.363888889,0.003703704,1,0,0,targImage,jjj,001,2019-10-09_23h19.39.857,choiceRTT,3.1.3,60
,0,0.117592593,-0.00462963,1,0,0,targImage,jjj,001,2019-10-09_23h19.39.857,choiceRTT,3.1.3,60
,0,0.12037037,-0.002777778,1,0,0,targImage,jjj,001,2019-10-09_23h19.39.857,choiceRTT,3.1.3,60
,0,0.371296296,0.000925926,1,0,0,targImage,jjj,001,2019-10-09_23h19.39.857,choiceRTT,3.1.3,60
,0,-0.435185185,-0.002777778,1,0,0,targImage,jjj,001,2019-10-09_23h19.39.857,choiceRTT,3.1.3,60
,0,-0.109259259,0,1,0,0,targImage,jjj,001,2019-10-09_23h19.39.857,choiceRTT,3.1.3,60
,0,0.360185185,0.010185185,1,0,0,targImage,jjj,001,2019-10-09_23h19.39.857,choiceRTT,3.1.3,60
,0,0.355555556,-0.000925926,1,0,0,targImage,jjj,001,2019-10-09_23h19.39.857,choiceRTT,3.1.3,60
,0,0.427777778,0,1,0,0,targImage,jjj,001,2019-10-09_23h19.39.857,choiceRTT,3.1.3,60
,0,-0.122222222,0.009259259,1,0,0,targImage,jjj,001,2019-10-09_23h19.39.857,choiceRTT,3.1.3,60
,0,-0.10462963,0.011111111,1,0,0,targImage,jjj,001,2019-10-09_23h19.39.857,choiceRTT,3.1.3,60
,0,-0.107407407,0.011111111,1,0,0,targImage,jjj,001,2019-10-09_23h19.39.857,choiceRTT,3.1.3,60
