participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,keyResp.rt,keyResp.duration,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,PracticeLoop.order,onsetTime,thisImage
1000,001,2024-02-12_09h35.53.825,choiceRTT,2023.1.3,Win32,60.60606061,,,,,,,,,,,,,,,,,,,,
1000,001,2024-02-12_09h35.53.825,choiceRTT,2023.1.3,Win32,60.60606061,c,0,3.0038,,,,,,,,,1.5038,0,0,0,4,1,8,1.5,images/target_plus.jpg
