participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,keyResp.rt,keyResp.duration,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage
,001,2024-02-13_09h00.45.824,choiceRTT,2023.1.3,Win32,58.47953216,,,,,,,,,,,,,,,,,,,,
,001,2024-02-13_09h00.45.824,choiceRTT,2023.1.3,Win32,58.47953216,c,1,2.8058,,,,,,,,,1.5058,,0,0,0,3,1,1.3,images/target_cross.jpg
,001,2024-02-13_09h00.45.824,choiceRTT,2023.1.3,Win32,58.47953216,v,1,2.7516,,,,,,,,,1.4516,,0,1,1,8,1,1.3,images/target_square.jpg
,001,2024-02-13_09h00.45.824,choiceRTT,2023.1.3,Win32,58.47953216,c,1,2.5336,,,,,,,,,1.4336,,0,2,2,0,1,1.1,images/target_cross.jpg
,001,2024-02-13_09h00.45.824,choiceRTT,2023.1.3,Win32,58.47953216,b,1,2.8889,,,,,,,,,1.7889,,0,3,3,7,1,1.1,images/target_plus.jpg
