participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,correctMouseResp,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,moveOnKeys.rt,moveOnKeys.duration,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
,001,2024-01-21_20h20.08.443,choiceRTT,2023.1.3,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,001,2024-01-21_20h20.08.443,choiceRTT,2023.1.3,MacIntel,62.5,,0,0.242282507,-0.254911132,1,0,0,3.091,plus_button,1,1.791,,0,0,0,1,1,1.3,images/target_plus.jpg,,,,,,,,,,,,,
,001,2024-01-21_20h20.08.443,choiceRTT,2023.1.3,MacIntel,62.5,,0,-0.075771749,-0.291393826,1,0,0,2.399,square_button,1,0.899,space,0,1,1,2,1,1.5,images/target_square.jpg,3.242,,,,,,,,,,,,
,001,2024-01-21_20h20.08.443,choiceRTT,2023.1.3,MacIntel,62.5,,0,-0.244153414,-0.300748363,1,0,0,2.081,cross_button,1,0.981,space,0,2,2,0,1,1.1,images/target_cross.jpg,2.781,,,,,,,,,,,,
,001,2024-01-21_20h20.08.443,choiceRTT,2023.1.3,MacIntel,62.5,,0,0.014967259,-0.238072965,1,0,0,2.381,square_button,1,1.081,space,0,3,3,8,1,1.3,images/target_square.jpg,1.387,,,,,,,,,,,,
,001,2024-01-21_20h20.08.443,choiceRTT,2023.1.3,MacIntel,62.5,,0,0.247895229,-0.244621141,1,0,0,2.298,plus_button,0,0.998,space,0,4,4,3,1,1.3,images/target_cross.jpg,1.132,,,,,,,,,,,,
,001,2024-01-21_20h20.08.443,choiceRTT,2023.1.3,MacIntel,62.5,,0,0.212347989,-0.242750234,1,0,0,1.716,plus_button,1,0.616,space,0,5,5,7,1,1.1,images/target_plus.jpg,2.032,,,,,,,,,,,,
,001,2024-01-21_20h20.08.443,choiceRTT,2023.1.3,MacIntel,62.5,,0,0.0505145,-0.232460243,1,0,0,1.833,square_button,1,0.733,space,0,6,6,5,1,1.1,images/target_square.jpg,2.99,,,,,,,,,,,,
,001,2024-01-21_20h20.08.443,choiceRTT,2023.1.3,MacIntel,62.5,,0,-0.31898971,-0.223105706,1,0,0,2.433,cross_button,1,0.933,space,0,7,7,6,1,1.5,images/target_cross.jpg,1.164,,,,,,,,,,,,
,001,2024-01-21_20h20.08.443,choiceRTT,2023.1.3,MacIntel,62.5,,0,0.219831618,-0.219363891,1,0,0,2.299,plus_button,1,0.799,space,0,8,8,4,1,1.5,images/target_plus.jpg,1.685,,,,,,,,,,,,
