keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,correctMouseResp,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
v,0,0.8689,,,,,,,,-0.4311,,0,0,0,1,1,1.3,images/target_plus.jpg,,001,2022-02-28_15h50.48.103,choiceRTT,2021.2.3,Win32,59.93048064,,,,,,,,,,,,
c,0,2.343,,,,,,,,1.243,,0,1,1,7,1,1.1,images/target_plus.jpg,,001,2022-02-28_15h50.48.103,choiceRTT,2021.2.3,Win32,59.93048064,,,,,,,,,,,,
c,1,3.1255,,,,,,,,1.8255,,0,2,2,3,1,1.3,images/target_cross.jpg,,001,2022-02-28_15h50.48.103,choiceRTT,2021.2.3,Win32,59.93048064,,,,,,,,,,,,
v,1,2.6515,,,,,,,,1.1515,,0,3,3,2,1,1.5,images/target_square.jpg,,001,2022-02-28_15h50.48.103,choiceRTT,2021.2.3,Win32,59.93048064,,,,,,,,,,,,
c,1,2.3573,,,,,,,,0.8573,,0,4,4,6,1,1.5,images/target_cross.jpg,,001,2022-02-28_15h50.48.103,choiceRTT,2021.2.3,Win32,59.93048064,,,,,,,,,,,,
v,0,2.0052,,,,,,,,0.5052,,0,5,5,4,1,1.5,images/target_plus.jpg,,001,2022-02-28_15h50.48.103,choiceRTT,2021.2.3,Win32,59.93048064,,,,,,,,,,,,
c,1,1.8518,,,,,,,,0.7518,,0,6,6,0,1,1.1,images/target_cross.jpg,,001,2022-02-28_15h50.48.103,choiceRTT,2021.2.3,Win32,59.93048064,,,,,,,,,,,,
,0,,0.023148148,-0.27037037,1,0,0,2.3627,square_button,1.2627,,0,7,7,5,1,1.1,images/target_square.jpg,,001,2022-02-28_15h50.48.103,choiceRTT,2021.2.3,Win32,59.93048064,1,,,,,,,,,,,
,0,,0.023148148,-0.27037037,1,0,0,1.8338,square_button,0.5338,,0,8,8,8,1,1.3,images/target_square.jpg,,001,2022-02-28_15h50.48.103,choiceRTT,2021.2.3,Win32,59.93048064,1,,,,,,,,,,,
b,1,2.5824,,,,,,,,1.0824,,,,,,,1.5,images/target_plus.jpg,,001,2022-02-28_15h50.48.103,choiceRTT,2021.2.3,Win32,59.93048064,,,0.023148148,-0.259259259,1,0,0,0,0,0,4,1
