keyResp.keys,keyResp.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,correctMouseResp,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,moveOnKeys.rt,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,keyResp.rt,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
c,1,,,,,,,,,1.795,,,,,,,1.1,images/target_cross.jpg,,001,2023-07-02_15h05.30.852,choiceRTT,2021.2.3,Win32,59.9880024,,,,,,,,2.895,0,1,1,0,1
b,1,,,,,,,,,2.0766,,,,,,,1.1,images/target_plus.jpg,,001,2023-07-02_15h05.30.852,choiceRTT,2021.2.3,Win32,59.9880024,,,,,,,,3.1766,0,2,2,7,1
c,1,,,,,,,,,0.5479,,,,,,,1.3,images/target_cross.jpg,,001,2023-07-02_15h05.30.852,choiceRTT,2021.2.3,Win32,59.9880024,,,,,,,,1.8479,0,3,3,3,1
v,1,,,,,,,,,0.4952,,,,,,,1.3,images/target_square.jpg,,001,2023-07-02_15h05.30.852,choiceRTT,2021.2.3,Win32,59.9880024,,,,,,,,1.7952,0,4,4,8,1
c,1,,,,,,,,,0.668,,,,,,,1.5,images/target_cross.jpg,,001,2023-07-02_15h05.30.852,choiceRTT,2021.2.3,Win32,59.9880024,,,,,,,,2.168,0,5,5,6,1
v,1,,,,,,,,,0.6458,,,,,,,1.1,images/target_square.jpg,,001,2023-07-02_15h05.30.852,choiceRTT,2021.2.3,Win32,59.9880024,,,,,,,,1.7458,0,6,6,5,1
c,0,,,,,,,,,0.4376,,,,,,,1.3,images/target_plus.jpg,,001,2023-07-02_15h05.30.852,choiceRTT,2021.2.3,Win32,59.9880024,,,,,,,,1.7376,0,7,7,1,1
v,1,,,,,,,,,0.6045,,,,,,,1.5,images/target_square.jpg,,001,2023-07-02_15h05.30.852,choiceRTT,2021.2.3,Win32,59.9880024,,,,,,,,2.1045,0,8,8,2,1
b,1,,,,,,,,,0.6552,,,,,,,1.3,images/target_plus.jpg,,001,2023-07-02_15h05.30.852,choiceRTT,2021.2.3,Win32,59.9880024,,,,,,,,1.9552,1,0,9,1,1
b,1,,,,,,,,,0.3945,,,,,,,1.1,images/target_plus.jpg,,001,2023-07-02_15h05.30.852,choiceRTT,2021.2.3,Win32,59.9880024,,,,,,,,1.4945,1,1,10,7,1
c,1,,,,,,,,,0.5858,,,,,,,1.3,images/target_cross.jpg,,001,2023-07-02_15h05.30.852,choiceRTT,2021.2.3,Win32,59.9880024,,,,,,,,1.8858,1,2,11,3,1
v,1,,,,,,,,,0.6628,,,,,,,1.3,images/target_square.jpg,,001,2023-07-02_15h05.30.852,choiceRTT,2021.2.3,Win32,59.9880024,,,,,,,,1.9628,1,3,12,8,1
b,1,,,,,,,,,1.1806,,,,,,,1.5,images/target_plus.jpg,,001,2023-07-02_15h05.30.852,choiceRTT,2021.2.3,Win32,59.9880024,,,,,,,,2.6806,1,4,13,4,1
v,1,,,,,,,,,0.6025,,,,,,,1.1,images/target_square.jpg,,001,2023-07-02_15h05.30.852,choiceRTT,2021.2.3,Win32,59.9880024,,,,,,,,1.7025,1,5,14,5,1
c,1,,,,,,,,,0.4546,,,,,,,1.1,images/target_cross.jpg,,001,2023-07-02_15h05.30.852,choiceRTT,2021.2.3,Win32,59.9880024,,,,,,,,1.5546,1,6,15,0,1
b,0,,,,,,,,,1.06,,,,,,,1.5,images/target_cross.jpg,,001,2023-07-02_15h05.30.852,choiceRTT,2021.2.3,Win32,59.9880024,,,,,,,,2.56,1,7,16,6,1
v,1,,,,,,,,,0.3822,,,,,,,1.5,images/target_square.jpg,,001,2023-07-02_15h05.30.852,choiceRTT,2021.2.3,Win32,59.9880024,,,,,,,,1.8822,1,8,17,2,1
