keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate
v,1,2.1914,,,,,,,,0.6914,,0,0,0,2,1,1.5,images/target_square.jpg,,001,2022-10-06_15h10.28.385,choiceRTT,2021.2.3,Win32,60.17571308
c,1,4.1191,,,,,,,,2.8191,,0,1,1,3,1,1.3,images/target_cross.jpg,,001,2022-10-06_15h10.28.385,choiceRTT,2021.2.3,Win32,60.17571308
c,1,2.574,,,,,,,,1.074,,0,2,2,6,1,1.5,images/target_cross.jpg,,001,2022-10-06_15h10.28.385,choiceRTT,2021.2.3,Win32,60.17571308
b,1,3.1877,,,,,,,,1.8877,,0,3,3,1,1,1.3,images/target_plus.jpg,,001,2022-10-06_15h10.28.385,choiceRTT,2021.2.3,Win32,60.17571308
c,0,2.9058,,,,,,,,1.8058,,0,4,4,7,1,1.1,images/target_plus.jpg,,001,2022-10-06_15h10.28.385,choiceRTT,2021.2.3,Win32,60.17571308
v,1,2.1719,,,,,,,,1.0719,,0,5,5,5,1,1.1,images/target_square.jpg,,001,2022-10-06_15h10.28.385,choiceRTT,2021.2.3,Win32,60.17571308
v,1,2.1694,,,,,,,,0.8694,,0,6,6,8,1,1.3,images/target_square.jpg,,001,2022-10-06_15h10.28.385,choiceRTT,2021.2.3,Win32,60.17571308
b,1,2.1285,,,,,,,,0.6285,,0,7,7,4,1,1.5,images/target_plus.jpg,,001,2022-10-06_15h10.28.385,choiceRTT,2021.2.3,Win32,60.17571308
