keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,correctMouseResp,key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
v,1,3.405,,,,,,,,2.105,space,5.643,0,0,0,8,1,1.3,images/target_square.jpg,000,001,2023-05-01_15h19.43,choiceRTT,2021.2.3,MacIntel,60.16847172,,,,,,,,,,,,,
b,0,1.968,,,,,,,,0.668,,,0,1,1,3,1,1.3,images/target_cross.jpg,000,001,2023-05-01_15h19.43,choiceRTT,2021.2.3,MacIntel,60.16847172,,,,,,,,,,,,,
,0,,-0.19875,-0.2875,1,0,0,2.474,cross_button,1.374,,,0,2,2,0,1,1.1,images/target_cross.jpg,000,001,2023-05-01_15h19.43,choiceRTT,2021.2.3,MacIntel,60.16847172,1,,,,,,,,,,,,
,0,,-0.01125,-0.23875,1,0,0,2.176,square_button,0.676,b,9.876,0,3,3,2,1,1.5,images/target_square.jpg,000,001,2023-05-01_15h19.43,choiceRTT,2021.2.3,MacIntel,60.16847172,1,,,,,,,,,,,,
v,1,2.217,,,,,,,,1.117,c,3.292,0,4,4,5,1,1.1,images/target_square.jpg,000,001,2023-05-01_15h19.43,choiceRTT,2021.2.3,MacIntel,60.16847172,,,,,,,,,,,,,
b,1,1.986,,,,,,,,0.886,b,6.201,0,5,5,7,1,1.1,images/target_plus.jpg,000,001,2023-05-01_15h19.43,choiceRTT,2021.2.3,MacIntel,60.16847172,,,,,,,,,,,,,
b,0,2.353,,,,,,,,0.853,b,1.213,0,6,6,6,1,1.5,images/target_cross.jpg,000,001,2023-05-01_15h19.43,choiceRTT,2021.2.3,MacIntel,60.16847172,,,,,,,,,,,,,
b,1,2.433,,,,,,,,0.933,b,4.804,0,7,7,4,1,1.5,images/target_plus.jpg,000,001,2023-05-01_15h19.43,choiceRTT,2021.2.3,MacIntel,60.16847172,,,,,,,,,,,,,
c,0,2.62,,,,,,,,1.32,c,0.947,0,8,8,1,1,1.3,images/target_plus.jpg,000,001,2023-05-01_15h19.43,choiceRTT,2021.2.3,MacIntel,60.16847172,,,,,,,,,,,,,
c,1,2.395,,,,,,,,1.095,,,,,,,,1.3,images/target_cross.jpg,000,001,2023-05-01_15h19.43,choiceRTT,2021.2.3,MacIntel,60.16847172,,space,3.471,-0.01125,-0.2375,0,0,0,0,0,0,3,1
c,1,1.672,,,,,,,,0.572,,,,,,,,1.1,images/target_cross.jpg,000,001,2023-05-01_15h19.43,choiceRTT,2021.2.3,MacIntel,60.16847172,,,,,,,,,0,1,1,0,1
b,1,2.169,,,,,,,,0.869,,,,,,,,1.3,images/target_plus.jpg,000,001,2023-05-01_15h19.43,choiceRTT,2021.2.3,MacIntel,60.16847172,,,,,,,,,0,2,2,1,1
b,1,1.672,,,,,,,,0.572,,,,,,,,1.1,images/target_plus.jpg,000,001,2023-05-01_15h19.43,choiceRTT,2021.2.3,MacIntel,60.16847172,,,,,,,,,0,3,3,7,1
b,0,2.221,,,,,,,,0.721,,,,,,,,1.5,images/target_cross.jpg,000,001,2023-05-01_15h19.43,choiceRTT,2021.2.3,MacIntel,60.16847172,,,,,,,,,0,4,4,6,1
