participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,correctMouseResp,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,moveOnKeys.duration,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,keyResp.rt,keyResp.duration
1,001,2023-12-15_13h27.24.560,choiceRTT,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,
1,001,2023-12-15_13h27.24.560,choiceRTT,2023.1.3,MacIntel,60.0024001,,0,-0.207294497,-0.253252378,1,0,0,3.51,cross_button,0,2.21,space,4.6348,,0,0,0,1,1,1.3,images/target_plus.jpg,,
1,001,2023-12-15_13h27.24.560,choiceRTT,2023.1.3,MacIntel,60.0024001,c,0,,,,,,,,,1.2581,space,4.7443,,0,1,1,7,1,1.1,images/target_plus.jpg,2.3581,
