keyResp.keys,keyResp.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,correctMouseResp,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.rt,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
,0,0.01875,-0.26125,1,0,0,3.617,square_button,1,2.317,space,8.001,0,0,0,8,1,1.3,images/target_square.jpg,001,001,2022-11-25_11h36.39.836,choiceRTT,2021.2.3,MacIntel,40,,,,,,,,,,,,
,0,-0.2425,-0.26875,1,0,0,4.198,cross_button,0,2.698,,,0,1,1,4,1,1.5,images/target_plus.jpg,001,001,2022-11-25_11h36.39.836,choiceRTT,2021.2.3,MacIntel,40,,,,,,,,,,,,
b,0,,,,,,,,,0.853,,,0,2,2,2,1,1.5,images/target_square.jpg,001,001,2022-11-25_11h36.39.836,choiceRTT,2021.2.3,MacIntel,40,2.353,,,,,,,,,,,
c,1,,,,,,,,,1.418,,,0,3,3,6,1,1.5,images/target_cross.jpg,001,001,2022-11-25_11h36.39.836,choiceRTT,2021.2.3,MacIntel,40,2.918,,,,,,,,,,,
c,0,,,,,,,,,1.338,,,0,4,4,7,1,1.1,images/target_plus.jpg,001,001,2022-11-25_11h36.39.836,choiceRTT,2021.2.3,MacIntel,40,2.438,,,,,,,,,,,
c,1,,,,,,,,,0.77,,,0,5,5,0,1,1.1,images/target_cross.jpg,001,001,2022-11-25_11h36.39.836,choiceRTT,2021.2.3,MacIntel,40,1.87,,,,,,,,,,,
v,1,,,,,,,,,1.268,,,0,6,6,5,1,1.1,images/target_square.jpg,001,001,2022-11-25_11h36.39.836,choiceRTT,2021.2.3,MacIntel,40,2.368,,,,,,,,,,,
b,1,,,,,,,,,0.853,,,0,7,7,1,1,1.3,images/target_plus.jpg,001,001,2022-11-25_11h36.39.836,choiceRTT,2021.2.3,MacIntel,40,2.153,,,,,,,,,,,
c,1,,,,,,,,,0.976,,,0,8,8,3,1,1.3,images/target_cross.jpg,001,001,2022-11-25_11h36.39.836,choiceRTT,2021.2.3,MacIntel,40,2.276,,,,,,,,,,,
v,1,,,,,,,,,1.137,,,,,,,,1.5,images/target_square.jpg,001,001,2022-11-25_11h36.39.836,choiceRTT,2021.2.3,MacIntel,40,2.637,,0.04,-0.26375,1,0,0,0,0,0,2,1
v,1,,,,,,,,,0.618,,,,,,,,1.1,images/target_square.jpg,001,001,2022-11-25_11h36.39.836,choiceRTT,2021.2.3,MacIntel,40,1.718,,,,,,,0,1,1,5,1
c,0,,,,,,,,,1.097,,,,,,,,1.3,images/target_plus.jpg,001,001,2022-11-25_11h36.39.836,choiceRTT,2021.2.3,MacIntel,40,2.397,,,,,,,0,2,2,1,1
b,1,,,,,,,,,1.213,,,,,,,,1.5,images/target_plus.jpg,001,001,2022-11-25_11h36.39.836,choiceRTT,2021.2.3,MacIntel,40,2.713,,,,,,,0,3,3,4,1
