response.keys,response.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.clicked_name,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order,response.rt
,0,-0.321527778,0.021527778,1,0,0,targImage,1,0,8,4,1,7,1,-0.375,c,,001,2020-04-22_15h12.28.024,choiceRTT,3.1.3,60,,,,,,,
,0,-0.207638889,0.022916667,1,0,0,targImage,1,0,8,1,1,7,1,-0.125,v,,001,2020-04-22_15h12.28.024,choiceRTT,3.1.3,60,,,,,,,
,0,0.071527778,0.006944444,1,0,0,targImage,1,0,8,6,1,7,1,0.125,b,,001,2020-04-22_15h12.28.024,choiceRTT,3.1.3,60,,,,,,,
,0,0.333333333,0.006944444,1,0,0,targImage,1,0,8,7,1,7,1,0.375,n,,001,2020-04-22_15h12.28.024,choiceRTT,3.1.3,60,,,,,,,
,0,0.395138889,0.013194444,1,0,0,targImage,1,0,8,3,1,7,1,0.375,n,,001,2020-04-22_15h12.28.024,choiceRTT,3.1.3,60,,,,,,,
,0,0.107638889,0.006944444,1,0,0,targImage,1,0,8,2,1,7,1,0.125,b,,001,2020-04-22_15h12.28.024,choiceRTT,3.1.3,60,,,,,,,
,0,-0.313888889,0.025694444,1,0,0,targImage,1,0,8,0,1,7,1,-0.375,c,,001,2020-04-22_15h12.28.024,choiceRTT,3.1.3,60,,,,,,,
,0,-0.10625,0.016666667,1,0,0,targImage,1,0,8,5,1,7,1,-0.125,v,,001,2020-04-22_15h12.28.024,choiceRTT,3.1.3,60,,,,,,,
,0,0.391666667,0.021527778,1,0,0,targImage,,,,,,,1.8888,0.375,n,,001,2020-04-22_15h12.28.024,choiceRTT,3.1.3,60,1,0,40,19,1,39,
,0,0.321527778,0.020138889,1,0,0,targImage,,,,,,,1,0.375,n,,001,2020-04-22_15h12.28.024,choiceRTT,3.1.3,60,1,0,40,3,1,39,
,0,-0.120833333,0.022916667,1,0,0,targImage,,,,,,,1.4444,-0.125,v,,001,2020-04-22_15h12.28.024,choiceRTT,3.1.3,60,1,0,40,9,1,39,
,0,0.320833333,0.027083333,1,0,0,targImage,,,,,,,1.2222,0.375,n,,001,2020-04-22_15h12.28.024,choiceRTT,3.1.3,60,1,0,40,7,1,39,
,0,-0.334027778,0.041666667,1,0,0,targImage,,,,,,,1.4444,-0.375,c,,001,2020-04-22_15h12.28.024,choiceRTT,3.1.3,60,1,0,40,8,1,39,
,0,-0.119444444,0.009027778,1,0,0,targImage,,,,,,,1.6666,-0.125,v,,001,2020-04-22_15h12.28.024,choiceRTT,3.1.3,60,1,0,40,13,1,39,
,0,0.1875,-0.009027778,1,0,0,targImage,,,,,,,1.8888,0.125,b,,001,2020-04-22_15h12.28.024,choiceRTT,3.1.3,60,1,0,40,18,1,39,
,0,0.322916667,0.000694444,1,0,0,targImage,,,,,,,2.5554,0.375,n,,001,2020-04-22_15h12.28.024,choiceRTT,3.1.3,60,1,0,40,31,1,39,
,0,0.290972222,-0.007638889,1,0,0,targImage,,,,,,,1.4444,0.375,n,,001,2020-04-22_15h12.28.024,choiceRTT,3.1.3,60,1,0,40,11,1,39,
,0,-0.134027778,0.01875,1,0,0,targImage,,,,,,,2.9998,-0.125,v,,001,2020-04-22_15h12.28.024,choiceRTT,3.1.3,60,1,0,40,37,1,39,
