response.keys,response.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.clicked_name,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order,response.rt
,0,0.103472222,0.008333333,1,0,0,targImage,,,,,,,1.6666,0.125,b,,001,2020-04-22_15h12.28.024,choiceRTT,3.1.3,60,1,0,40,14,1,39,
,0,0.15625,-0.002083333,1,0,0,targImage,,,,,,,1.2222,0.125,b,,001,2020-04-22_15h12.28.024,choiceRTT,3.1.3,60,1,0,40,6,1,39,
,0,-0.351388889,0.042361111,1,0,0,targImage,,,,,,,1.6666,-0.375,c,,001,2020-04-22_15h12.28.024,choiceRTT,3.1.3,60,1,0,40,12,1,39,
,0,-0.138888889,0.029166667,1,0,0,targImage,,,,,,,1.2222,-0.125,v,,001,2020-04-22_15h12.28.024,choiceRTT,3.1.3,60,1,0,40,5,1,39,
,0,0.385416667,-0.0125,1,0,0,targImage,,,,,,,1.6666,0.375,n,,001,2020-04-22_15h12.28.024,choiceRTT,3.1.3,60,1,0,40,15,1,39,
,0,-0.147916667,0.027083333,1,0,0,targImage,,,,,,,2.3332,-0.125,v,,001,2020-04-22_15h12.28.024,choiceRTT,3.1.3,60,1,0,40,25,1,39,
,0,0.156944444,0.014583333,1,0,0,targImage,,,,,,,1.4444,0.125,b,,001,2020-04-22_15h12.28.024,choiceRTT,3.1.3,60,1,0,40,10,1,39,
,0,0.142361111,0.022222222,1,0,0,targImage,,,,,,,2.3332,0.125,b,,001,2020-04-22_15h12.28.024,choiceRTT,3.1.3,60,1,0,40,26,1,39,
,0,-0.139583333,0.048611111,1,0,0,targImage,,,,,,,2.7776,-0.125,v,,001,2020-04-22_15h12.28.024,choiceRTT,3.1.3,60,1,0,40,33,1,39,
,0,-0.465972222,0.063194444,1,0,0,targImage,,,,,,,2.5554,-0.375,c,,001,2020-04-22_15h12.28.024,choiceRTT,3.1.3,60,1,0,40,28,1,39,
,0,-0.431944444,0.010416667,1,0,0,targImage,,,,,,,2.3332,-0.375,c,,001,2020-04-22_15h12.28.024,choiceRTT,3.1.3,60,1,0,40,24,1,39,
,0,-0.284027778,0.026388889,1,0,0,targImage,,,,,,,2.7776,-0.375,c,,001,2020-04-22_15h12.28.024,choiceRTT,3.1.3,60,1,0,40,32,1,39,
