keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,moveOnKeys.rt
c,0,3.5022,,,,,,,,2.2022,,0,0,0,1,1,1.3,images/target_plus.jpg,1,001,2023-01-18_14h30.34.427,choiceRTT,2021.2.3,Win32,60.0240096,
v,0,3.3661,0.037962986,-0.126851807,1,0,0,0.6138,,2.2661,space,0,1,1,0,1,1.1,images/target_cross.jpg,1,001,2023-01-18_14h30.34.427,choiceRTT,2021.2.3,Win32,60.0240096,1.6834
v,0,0.8875,,,,,,,,-0.4125,space,0,2,2,3,1,1.3,images/target_cross.jpg,1,001,2023-01-18_14h30.34.427,choiceRTT,2021.2.3,Win32,60.0240096,0.5508
