response.keys,response.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.clicked_name,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate
,0,-0.067592512,0.011111097,1,0,0,targImage,1,0,8,1,1,7,1,-0.125,v,l,001,2021-10-17_21h27.22.582,choiceRTT,3.1.3,60
,0,0.416666706,-0.0101852,1,0,0,targImage,1,0,8,3,1,7,1,0.375,n,l,001,2021-10-17_21h27.22.582,choiceRTT,3.1.3,60
,0,-0.140958954,0.026863071,1,0,0,targImage,1,0,8,5,1,7,1,-0.125,v,l,001,2021-10-17_21h27.22.582,choiceRTT,3.1.3,60
