response.keys,response.corr,response.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order
n,0,16.41900015,0.79875,-0.225,0,0,0,1,0,8,2,1,7,1,0.125,b,,001,2020-04-16_08h02.30.460,choiceRTT,3.1.3,60,,,,,,
n,0,1.062999964,0.79875,-0.225,0,0,0,1,0,8,6,1,7,1,0.125,b,,001,2020-04-16_08h02.30.460,choiceRTT,3.1.3,60,,,,,,
b,0,0.796000004,0.79875,-0.225,0,0,0,1,0,8,5,1,7,1,-0.125,v,,001,2020-04-16_08h02.30.460,choiceRTT,3.1.3,60,,,,,,
n,1,3.180000067,0.79875,-0.225,0,0,0,1,0,8,7,1,7,1,0.375,n,,001,2020-04-16_08h02.30.460,choiceRTT,3.1.3,60,,,,,,
c,1,1.380000114,0.79875,-0.225,0,0,0,1,0,8,4,1,7,1,-0.375,c,,001,2020-04-16_08h02.30.460,choiceRTT,3.1.3,60,,,,,,
v,1,0.878999949,0.79875,-0.225,0,0,0,1,0,8,1,1,7,1,-0.125,v,,001,2020-04-16_08h02.30.460,choiceRTT,3.1.3,60,,,,,,
c,1,0.613000154,0.79875,-0.225,0,0,0,1,0,8,0,1,7,1,-0.375,c,,001,2020-04-16_08h02.30.460,choiceRTT,3.1.3,60,,,,,,
n,1,3.348999977,0.79875,-0.225,0,0,0,1,0,8,3,1,7,1,0.375,n,,001,2020-04-16_08h02.30.460,choiceRTT,3.1.3,60,,,,,,
c,0,0.429000139,0.79875,-0.225,0,0,0,,,,,,,2.3332,0.125,b,,001,2020-04-16_08h02.30.460,choiceRTT,3.1.3,60,1,0,40,26,1,39
n,1,0.879999876,0.79875,-0.225,0,0,0,,,,,,,1.2222,0.375,n,,001,2020-04-16_08h02.30.460,choiceRTT,3.1.3,60,1,0,40,7,1,39
n,1,0.578999996,0.79875,-0.225,0,0,0,,,,,,,2.7776,0.375,n,,001,2020-04-16_08h02.30.460,choiceRTT,3.1.3,60,1,0,40,35,1,39
v,1,0.578999996,0.79875,-0.225,0,0,0,,,,,,,1.6666,-0.125,v,,001,2020-04-16_08h02.30.460,choiceRTT,3.1.3,60,1,0,40,13,1,39
n,1,0.463000059,0.79875,-0.225,0,0,0,,,,,,,2.9998,0.375,n,,001,2020-04-16_08h02.30.460,choiceRTT,3.1.3,60,1,0,40,39,1,39
c,1,0.496000051,0.79875,-0.225,0,0,0,,,,,,,1.2222,-0.375,c,,001,2020-04-16_08h02.30.460,choiceRTT,3.1.3,60,1,0,40,4,1,39
v,1,0.463000059,0.79875,-0.225,0,0,0,,,,,,,2.7776,-0.125,v,,001,2020-04-16_08h02.30.460,choiceRTT,3.1.3,60,1,0,40,33,1,39
c,1,0.428999901,0.79875,-0.225,0,0,0,,,,,,,2.111,-0.375,c,,001,2020-04-16_08h02.30.460,choiceRTT,3.1.3,60,1,0,40,20,1,39
c,1,0.464000225,0.79875,-0.225,0,0,0,,,,,,,1,-0.375,c,,001,2020-04-16_08h02.30.460,choiceRTT,3.1.3,60,1,0,40,0,1,39
n,1,1.213999987,0.79875,-0.225,0,0,0,,,,,,,1.8888,0.375,n,,001,2020-04-16_08h02.30.460,choiceRTT,3.1.3,60,1,0,40,19,1,39
v,1,0.429000139,0.79875,-0.225,0,0,0,,,,,,,2.3332,-0.125,v,,001,2020-04-16_08h02.30.460,choiceRTT,3.1.3,60,1,0,40,25,1,39
c,1,0.546000004,0.79875,-0.225,0,0,0,,,,,,,1.4444,-0.375,c,,001,2020-04-16_08h02.30.460,choiceRTT,3.1.3,60,1,0,40,8,1,39
n,1,0.345000029,0.79875,-0.225,0,0,0,,,,,,,2.5554,0.375,n,,001,2020-04-16_08h02.30.460,choiceRTT,3.1.3,60,1,0,40,31,1,39
c,1,0.446000099,0.79875,-0.225,0,0,0,,,,,,,1.8888,-0.375,c,,001,2020-04-16_08h02.30.460,choiceRTT,3.1.3,60,1,0,40,16,1,39
b,1,0.462000132,0.79875,-0.225,0,0,0,,,,,,,2.111,0.125,b,,001,2020-04-16_08h02.30.460,choiceRTT,3.1.3,60,1,0,40,22,1,39
b,1,0.529000044,0.79875,-0.225,0,0,0,,,,,,,1.2222,0.125,b,,001,2020-04-16_08h02.30.460,choiceRTT,3.1.3,60,1,0,40,6,1,39
v,1,0.597000122,0.79875,-0.225,0,0,0,,,,,,,1.2222,-0.125,v,,001,2020-04-16_08h02.30.460,choiceRTT,3.1.3,60,1,0,40,5,1,39
v,0,0.480000019,0.79875,-0.225,0,0,0,,,,,,,2.7776,0.125,b,,001,2020-04-16_08h02.30.460,choiceRTT,3.1.3,60,1,0,40,34,1,39
c,1,0.446000099,0.79875,-0.225,0,0,0,,,,,,,2.5554,-0.375,c,,001,2020-04-16_08h02.30.460,choiceRTT,3.1.3,60,1,0,40,28,1,39
c,1,0.480000019,0.79875,-0.225,0,0,0,,,,,,,2.7776,-0.375,c,,001,2020-04-16_08h02.30.460,choiceRTT,3.1.3,60,1,0,40,32,1,39
c,1,0.496000051,0.79875,-0.225,0,0,0,,,,,,,2.3332,-0.375,c,,001,2020-04-16_08h02.30.460,choiceRTT,3.1.3,60,1,0,40,24,1,39
n,1,0.478999853,0.79875,-0.225,0,0,0,,,,,,,1.6666,0.375,n,,001,2020-04-16_08h02.30.460,choiceRTT,3.1.3,60,1,0,40,15,1,39
c,0,0.446000099,0.79875,-0.225,0,0,0,,,,,,,1.8888,-0.125,v,,001,2020-04-16_08h02.30.460,choiceRTT,3.1.3,60,1,0,40,17,1,39
v,1,0.394999981,0.79875,-0.225,0,0,0,,,,,,,2.9998,-0.125,v,,001,2020-04-16_08h02.30.460,choiceRTT,3.1.3,60,1,0,40,37,1,39
c,1,0.480000019,0.79875,-0.225,0,0,0,,,,,,,2.9998,-0.375,c,,001,2020-04-16_08h02.30.460,choiceRTT,3.1.3,60,1,0,40,36,1,39
b,1,0.796999931,0.79875,-0.225,0,0,0,,,,,,,1,0.125,b,,001,2020-04-16_08h02.30.460,choiceRTT,3.1.3,60,1,0,40,2,1,39
n,1,0.478999853,0.79875,-0.225,0,0,0,,,,,,,2.3332,0.375,n,,001,2020-04-16_08h02.30.460,choiceRTT,3.1.3,60,1,0,40,27,1,39
c,1,0.579999924,0.79875,-0.225,0,0,0,,,,,,,1.6666,-0.375,c,,001,2020-04-16_08h02.30.460,choiceRTT,3.1.3,60,1,0,40,12,1,39
v,1,0.445999861,0.79875,-0.225,0,0,0,,,,,,,2.5554,-0.125,v,,001,2020-04-16_08h02.30.460,choiceRTT,3.1.3,60,1,0,40,29,1,39
b,1,0.779999971,0.79875,-0.225,0,0,0,,,,,,,1.4444,0.125,b,,001,2020-04-16_08h02.30.460,choiceRTT,3.1.3,60,1,0,40,10,1,39
b,1,0.447000027,0.79875,-0.225,0,0,0,,,,,,,2.5554,0.125,b,,001,2020-04-16_08h02.30.460,choiceRTT,3.1.3,60,1,0,40,30,1,39
n,1,0.480999947,0.79875,-0.225,0,0,0,,,,,,,1.4444,0.375,n,,001,2020-04-16_08h02.30.460,choiceRTT,3.1.3,60,1,0,40,11,1,39
b,1,0.529999971,0.79875,-0.225,0,0,0,,,,,,,1.8888,0.125,b,,001,2020-04-16_08h02.30.460,choiceRTT,3.1.3,60,1,0,40,18,1,39
n,1,0.514000177,0.79875,-0.225,0,0,0,,,,,,,1,0.375,n,,001,2020-04-16_08h02.30.460,choiceRTT,3.1.3,60,1,0,40,3,1,39
v,1,0.596000195,0.79875,-0.225,0,0,0,,,,,,,2.111,-0.125,v,,001,2020-04-16_08h02.30.460,choiceRTT,3.1.3,60,1,0,40,21,1,39
v,1,0.446000099,0.79875,-0.225,0,0,0,,,,,,,1.4444,-0.125,v,,001,2020-04-16_08h02.30.460,choiceRTT,3.1.3,60,1,0,40,9,1,39
b,1,0.447000027,0.79875,-0.225,0,0,0,,,,,,,1.6666,0.125,b,,001,2020-04-16_08h02.30.460,choiceRTT,3.1.3,60,1,0,40,14,1,39
v,1,0.578999996,0.79875,-0.225,0,0,0,,,,,,,1,-0.125,v,,001,2020-04-16_08h02.30.460,choiceRTT,3.1.3,60,1,0,40,1,1,39
b,1,0.480000019,0.79875,-0.225,0,0,0,,,,,,,2.9998,0.125,b,,001,2020-04-16_08h02.30.460,choiceRTT,3.1.3,60,1,0,40,38,1,39
n,1,0.53000021,0.79875,-0.225,0,0,0,,,,,,,2.111,0.375,n,,001,2020-04-16_08h02.30.460,choiceRTT,3.1.3,60,1,0,40,23,1,39
