participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,keyResp.rt,keyResp.duration,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,moveOnKeys.duration,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton
1,001,2023-07-17_10h20.04.317,choiceRTT,2023.1.3,Win32,60.03842459,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,001,2023-07-17_10h20.04.317,choiceRTT,2023.1.3,Win32,60.03842459,c,0,4.5084,,,,,,,,,3.0084,space,9.0817,,0,0,0,4,1,1.5,images/target_plus.jpg,,,,,,
1,001,2023-07-17_10h20.04.317,choiceRTT,2023.1.3,Win32,60.03842459,c,1,2.9115,,,,,,,,,1.4115,space,1.2747,,0,1,1,6,1,1.5,images/target_cross.jpg,,,,,,
1,001,2023-07-17_10h20.04.317,choiceRTT,2023.1.3,Win32,60.03842459,v,1,1.9586,,,,,,,,,0.6586,space,0.2799,,0,2,2,8,1,1.3,images/target_square.jpg,,,,,,
1,001,2023-07-17_10h20.04.317,choiceRTT,2023.1.3,Win32,60.03842459,b,0,7.8666,,,,,,,,,6.7666,space,1.7005,,0,3,3,0,1,1.1,images/target_cross.jpg,,,,,,
1,001,2023-07-17_10h20.04.317,choiceRTT,2023.1.3,Win32,60.03842459,v,1,2.4824,,,,,,,,,0.9824,space,0.7013,,0,4,4,2,1,1.5,images/target_square.jpg,,,,,,
1,001,2023-07-17_10h20.04.317,choiceRTT,2023.1.3,Win32,60.03842459,v,1,1.731,,,,,,,,,0.631,space,0.2664,,0,5,5,5,1,1.1,images/target_square.jpg,,,,,,
1,001,2023-07-17_10h20.04.317,choiceRTT,2023.1.3,Win32,60.03842459,c,0,1.9464,,,,,,,,,0.6464,space,0.4595,,0,6,6,1,1,1.3,images/target_plus.jpg,,,,,,
1,001,2023-07-17_10h20.04.317,choiceRTT,2023.1.3,Win32,60.03842459,c,1,2.0083,,,,,,,,,0.7083,space,0.1809,,0,7,7,3,1,1.3,images/target_cross.jpg,,,,,,
1,001,2023-07-17_10h20.04.317,choiceRTT,2023.1.3,Win32,60.03842459,b,1,1.6293,,,,,,,,,0.5293,space,0.5336,,0,8,8,7,1,1.1,images/target_plus.jpg,,,,,,
1,001,2023-07-17_10h20.04.317,choiceRTT,2023.1.3,Win32,60.03842459,,,,,,,,,,,,,,,,,,,,,,,,-0.032955126,-0.050513269,1,0,0
