participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,correctMouseResp,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage
zrn,001,2023-11-02_17h16.51.407,choiceRTT,2023.1.3,Win32,59.93766483,,,,,,,,,,,,,,,,,,,
zrn,001,2023-11-02_17h16.51.407,choiceRTT,2023.1.3,Win32,59.93766483,,0,-0.225,-0.259259259,1,0,0,5.4408,cross_button,1,3.9408,,0,0,0,6,1,1.5,images/target_cross.jpg
zrn,001,2023-11-02_17h16.51.407,choiceRTT,2023.1.3,Win32,59.93766483,,0,-0.213888889,-0.252777778,1,0,0,1.9009,cross_button,1,0.8009,,0,1,1,0,1,1.1,images/target_cross.jpg
