participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,correctMouseResp,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,moveOnKeys.duration,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,keyResp.rt,keyResp.duration,key_resp.keys,key_resp.rt,key_resp.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
,001,2024-02-10_00h31.49.252,choiceRTT,2023.1.3,MacIntel,55.55555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,001,2024-02-10_00h31.49.252,choiceRTT,2023.1.3,MacIntel,55.55555556,,0,-0.1975,-0.25375,1,0,0,4.422,cross_button,0,3.122,space,5.767,,0,0,0,1,1,1.3,images/target_plus.jpg,,,,,,,,,,,,,,,
,001,2024-02-10_00h31.49.252,choiceRTT,2023.1.3,MacIntel,55.55555556,,0,-0.24125,-0.25125,1,0,0,3.773,cross_button,1,2.273,space,2.008,,0,1,1,6,1,1.5,images/target_cross.jpg,,,,,,,,,,,,,,,
,001,2024-02-10_00h31.49.252,choiceRTT,2023.1.3,MacIntel,55.55555556,,0,-0.04875,-0.24625,1,0,0,2.935,square_button,1,1.835,space,0.764,,0,2,2,5,1,1.1,images/target_square.jpg,,,,,,,,,,,,,,,
,001,2024-02-10_00h31.49.252,choiceRTT,2023.1.3,MacIntel,55.55555556,,0,0.2575,-0.26125,1,0,0,3.869,plus_button,1,2.369,space,0.887,,0,3,3,4,1,1.5,images/target_plus.jpg,,,,,,,,,,,,,,,
,001,2024-02-10_00h31.49.252,choiceRTT,2023.1.3,MacIntel,55.55555556,,0,0.2575,-0.26125,1,0,0,2.668,plus_button,1,1.568,space,0.743,,0,4,4,7,1,1.1,images/target_plus.jpg,,,,,,,,,,,,,,,
,001,2024-02-10_00h31.49.252,choiceRTT,2023.1.3,MacIntel,55.55555556,,0,0.2575,-0.26125,1,0,0,2.683,plus_button,0,1.183,space,0.494,,0,5,5,2,1,1.5,images/target_square.jpg,,,,,,,,,,,,,,,
,001,2024-02-10_00h31.49.252,choiceRTT,2023.1.3,MacIntel,55.55555556,,0,-0.19,-0.24625,1,0,0,2.979,cross_button,1,1.879,space,0.723,,0,6,6,0,1,1.1,images/target_cross.jpg,,,,,,,,,,,,,,,
,001,2024-02-10_00h31.49.252,choiceRTT,2023.1.3,MacIntel,55.55555556,,0,0.05,-0.25,1,0,0,2.867,square_button,1,1.567,space,2.482,,0,7,7,8,1,1.3,images/target_square.jpg,,,,,,,,,,,,,,,
,001,2024-02-10_00h31.49.252,choiceRTT,2023.1.3,MacIntel,55.55555556,c,1,,,,,,,,,2.789,space,0.519,,0,8,8,3,1,1.3,images/target_cross.jpg,4.089,,,,,,,,,,,,,,
,001,2024-02-10_00h31.49.252,choiceRTT,2023.1.3,MacIntel,55.55555556,,,,,,,,,,,,,,,,,,,,,,,,space,3.33,,0.05,-0.25,0,0,0,,,,,
,001,2024-02-10_00h31.49.252,choiceRTT,2023.1.3,MacIntel,55.55555556,b,1,,,,,,,,,1.996,,,,,,,,,1.5,images/target_plus.jpg,3.496,,,,,,,,,,0,0,0,4,1
,001,2024-02-10_00h31.49.252,choiceRTT,2023.1.3,MacIntel,55.55555556,b,1,,,,,,,,,1.547,,,,,,,,,1.1,images/target_plus.jpg,2.647,,,,,,,,,,0,1,1,7,1
,001,2024-02-10_00h31.49.252,choiceRTT,2023.1.3,MacIntel,55.55555556,c,1,,,,,,,,,2.029,,,,,,,,,1.1,images/target_cross.jpg,3.129,,,,,,,,,,0,2,2,0,1
,001,2024-02-10_00h31.49.252,choiceRTT,2023.1.3,MacIntel,55.55555556,c,1,,,,,,,,,1.451,,,,,,,,,1.5,images/target_cross.jpg,2.951,,,,,,,,,,0,3,3,6,1
,001,2024-02-10_00h31.49.252,choiceRTT,2023.1.3,MacIntel,55.55555556,v,1,,,,,,,,,0.926,,,,,,,,,1.5,images/target_square.jpg,2.426,,,,,,,,,,0,4,4,2,1
,001,2024-02-10_00h31.49.252,choiceRTT,2023.1.3,MacIntel,55.55555556,b,1,,,,,,,,,0.686,,,,,,,,,1.3,images/target_plus.jpg,1.986,,,,,,,,,,0,5,5,1,1
,001,2024-02-10_00h31.49.252,choiceRTT,2023.1.3,MacIntel,55.55555556,v,1,,,,,,,,,0.782,,,,,,,,,1.3,images/target_square.jpg,2.082,,,,,,,,,,0,6,6,8,1
,001,2024-02-10_00h31.49.252,choiceRTT,2023.1.3,MacIntel,55.55555556,v,1,,,,,,,,,0.938,,,,,,,,,1.1,images/target_square.jpg,2.038,,,,,,,,,,0,7,7,5,1
,001,2024-02-10_00h31.49.252,choiceRTT,2023.1.3,MacIntel,55.55555556,c,1,,,,,,,,,3.287,,,,,,,,,1.3,images/target_cross.jpg,4.587,,,,,,,,,,0,8,8,3,1
,001,2024-02-10_00h31.49.252,choiceRTT,2023.1.3,MacIntel,55.55555556,b,1,,,,,,,,,1.317,,,,,,,,,1.3,images/target_plus.jpg,2.617,,,,,,,,,,1,0,9,1,1
,001,2024-02-10_00h31.49.252,choiceRTT,2023.1.3,MacIntel,55.55555556,b,1,,,,,,,,,0.629,,,,,,,,,1.1,images/target_plus.jpg,1.729,,,,,,,,,,1,1,10,7,1
,001,2024-02-10_00h31.49.252,choiceRTT,2023.1.3,MacIntel,55.55555556,c,0,,,,,,,,,-0.557,,,,,,,,,1.1,images/target_square.jpg,0.543,,,,,,,,,,1,2,11,5,1
