keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,moveOnKeys.rt,key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
b,1,1.858515,,,,,,,,0.758515,,0,0,0,7,1,1.1,images/target_plus.jpg,1,001,2022-08-25_09h35.49.479,choiceRTT,2021.2.3,Win32,59.68367651,,,,,,,,,,,,,
c,1,3.470225,,,,,,,,2.170225,v,0,1,1,3,1,1.3,images/target_cross.jpg,1,001,2022-08-25_09h35.49.479,choiceRTT,2021.2.3,Win32,59.68367651,2.87445,,,,,,,,,,,,
v,1,1.773885,,,,,,,,0.673885,,0,2,2,5,1,1.1,images/target_square.jpg,1,001,2022-08-25_09h35.49.479,choiceRTT,2021.2.3,Win32,59.68367651,,,,,,,,,,,,,
b,1,2.306695,,,,,,,,0.806695,,0,3,3,4,1,1.5,images/target_plus.jpg,1,001,2022-08-25_09h35.49.479,choiceRTT,2021.2.3,Win32,59.68367651,,,,,,,,,,,,,
b,1,1.773545,,,,,,,,0.473545,,0,4,4,1,1,1.3,images/target_plus.jpg,1,001,2022-08-25_09h35.49.479,choiceRTT,2021.2.3,Win32,59.68367651,,,,,,,,,,,,,
c,1,2.32707,,,,,,,,0.82707,,0,5,5,6,1,1.5,images/target_cross.jpg,1,001,2022-08-25_09h35.49.479,choiceRTT,2021.2.3,Win32,59.68367651,,,,,,,,,,,,,
v,1,2.19028,,,,,,,,0.69028,,0,6,6,2,1,1.5,images/target_square.jpg,1,001,2022-08-25_09h35.49.479,choiceRTT,2021.2.3,Win32,59.68367651,,,,,,,,,,,,,
c,1,2.12434,,,,,,,,1.02434,,0,7,7,0,1,1.1,images/target_cross.jpg,1,001,2022-08-25_09h35.49.479,choiceRTT,2021.2.3,Win32,59.68367651,,,,,,,,,,,,,
v,1,2.157,,,,,,,,0.857,,0,8,8,8,1,1.3,images/target_square.jpg,1,001,2022-08-25_09h35.49.479,choiceRTT,2021.2.3,Win32,59.68367651,,,,,,,,,,,,,
v,1,2.142745,,,,,,,,0.642745,,,,,,,1.5,images/target_square.jpg,1,001,2022-08-25_09h35.49.479,choiceRTT,2021.2.3,Win32,59.68367651,,space,7.89293,0.008125,-0.235,0,0,0,0,0,0,2,1
c,1,2.011345,,,,,,,,0.911345,,,,,,,1.1,images/target_cross.jpg,1,001,2022-08-25_09h35.49.479,choiceRTT,2021.2.3,Win32,59.68367651,,,,,,,,,0,1,1,0,1
v,1,1.70739,,,,,,,,0.60739,,,,,,,1.1,images/target_square.jpg,1,001,2022-08-25_09h35.49.479,choiceRTT,2021.2.3,Win32,59.68367651,,,,,,,,,0,2,2,5,1
v,1,1.87981,,,,,,,,0.57981,,,,,,,1.3,images/target_square.jpg,1,001,2022-08-25_09h35.49.479,choiceRTT,2021.2.3,Win32,59.68367651,,,,,,,,,0,3,3,8,1
b,1,3.254655,,,,,,,,1.754655,,,,,,,1.5,images/target_plus.jpg,1,001,2022-08-25_09h35.49.479,choiceRTT,2021.2.3,Win32,59.68367651,,,,,,,,,0,4,4,4,1
b,1,2.62048,,,,,,,,1.32048,,,,,,,1.3,images/target_plus.jpg,1,001,2022-08-25_09h35.49.479,choiceRTT,2021.2.3,Win32,59.68367651,,,,,,,,,0,5,5,1,1
c,1,2.37348,,,,,,,,1.07348,,,,,,,1.3,images/target_cross.jpg,1,001,2022-08-25_09h35.49.479,choiceRTT,2021.2.3,Win32,59.68367651,,,,,,,,,0,6,6,3,1
v,0,0.035785,,,,,,,,-1.464215,,,,,,,1.5,images/target_cross.jpg,1,001,2022-08-25_09h35.49.479,choiceRTT,2021.2.3,Win32,59.68367651,,,,,,,,,0,7,7,6,1
c,0,2.625055,,,,,,,,1.525055,,,,,,,1.1,images/target_plus.jpg,1,001,2022-08-25_09h35.49.479,choiceRTT,2021.2.3,Win32,59.68367651,,,,,,,,,0,8,8,7,1
c,0,1.907625,,,,,,,,0.607625,,,,,,,1.3,images/target_plus.jpg,1,001,2022-08-25_09h35.49.479,choiceRTT,2021.2.3,Win32,59.68367651,,,,,,,,,1,0,9,1,1
v,0,3.524145,,,,,,,,2.224145,,,,,,,1.3,images/target_cross.jpg,1,001,2022-08-25_09h35.49.479,choiceRTT,2021.2.3,Win32,59.68367651,,,,,,,,,1,1,10,3,1
v,0,1.914895,,,,,,,,0.814895,,,,,,,1.1,images/target_plus.jpg,1,001,2022-08-25_09h35.49.479,choiceRTT,2021.2.3,Win32,59.68367651,,,,,,,,,1,2,11,7,1
b,0,0.3479,,,,,,,,-0.9521,,,,,,,1.3,images/target_square.jpg,1,001,2022-08-25_09h35.49.479,choiceRTT,2021.2.3,Win32,59.68367651,,,,,,,,,1,3,12,8,1
v,1,1.87147,,,,,,,,0.77147,,,,,,,1.1,images/target_square.jpg,1,001,2022-08-25_09h35.49.479,choiceRTT,2021.2.3,Win32,59.68367651,,,,,,,,,1,4,13,5,1
c,1,2.35524,,,,,,,,0.85524,,,,,,,1.5,images/target_cross.jpg,1,001,2022-08-25_09h35.49.479,choiceRTT,2021.2.3,Win32,59.68367651,,,,,,,,,1,5,14,6,1
v,0,2.357235,,,,,,,,0.857235,,,,,,,1.5,images/target_plus.jpg,1,001,2022-08-25_09h35.49.479,choiceRTT,2021.2.3,Win32,59.68367651,,,,,,,,,1,6,15,4,1
v,1,2.539955,,,,,,,,1.039955,,,,,,,1.5,images/target_square.jpg,1,001,2022-08-25_09h35.49.479,choiceRTT,2021.2.3,Win32,59.68367651,,,,,,,,,1,7,16,2,1
c,1,1.890065,,,,,,,,0.790065,,,,,,,1.1,images/target_cross.jpg,1,001,2022-08-25_09h35.49.479,choiceRTT,2021.2.3,Win32,59.68367651,,,,,,,,,1,8,17,0,1
