participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,correctMouseResp,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,moveOnKeys.rt,moveOnKeys.duration,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
anonymousity,001,2024-01-04_18h36.58.488,choiceRTT,2023.1.3,Win32,60.60606061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anonymousity,001,2024-01-04_18h36.58.488,choiceRTT,2023.1.3,Win32,60.60606061,,0,0.2625,-0.238333359,1,0,0,7.1671,plus_button,1,5.6671,,0,0,0,4,1,1.5,images/target_plus.jpg,,,,,,,,,,,,,
anonymousity,001,2024-01-04_18h36.58.488,choiceRTT,2023.1.3,Win32,60.60606061,,0,0.258333359,-0.239166718,1,0,0,3.7532,plus_button,1,2.4532,space,0,1,1,1,1,1.3,images/target_plus.jpg,1.8021,,,,,,,,,,,,
anonymousity,001,2024-01-04_18h36.58.488,choiceRTT,2023.1.3,Win32,60.60606061,,0,0.0725,-0.239166718,1,0,0,2.3233,square_button,1,1.2233,space,0,2,2,5,1,1.1,images/target_square.jpg,1.537,,,,,,,,,,,,
anonymousity,001,2024-01-04_18h36.58.488,choiceRTT,2023.1.3,Win32,60.60606061,,0,0.065,-0.244166718,1,0,0,2.899,square_button,1,1.599,space,0,3,3,8,1,1.3,images/target_square.jpg,2.517,,,,,,,,,,,,
anonymousity,001,2024-01-04_18h36.58.488,choiceRTT,2023.1.3,Win32,60.60606061,,0,-0.238333321,-0.2525,1,0,0,6.3701,cross_button,1,4.8701,space,0,4,4,6,1,1.5,images/target_cross.jpg,0.9867,,,,,,,,,,,,
anonymousity,001,2024-01-04_18h36.58.488,choiceRTT,2023.1.3,Win32,60.60606061,,0,0.24,-0.274166718,1,0,0,2.6506,plus_button,1,1.5506,space,0,5,5,7,1,1.1,images/target_plus.jpg,1.0187,,,,,,,,,,,,
anonymousity,001,2024-01-04_18h36.58.488,choiceRTT,2023.1.3,Win32,60.60606061,,0,0.01,-0.250833359,1,0,0,2.4589,square_button,1,0.9589,space,0,6,6,2,1,1.5,images/target_square.jpg,0.5758,,,,,,,,,,,,
anonymousity,001,2024-01-04_18h36.58.488,choiceRTT,2023.1.3,Win32,60.60606061,,0,-0.1775,-0.255,1,0,0,2.3486,cross_button,1,1.2486,space,0,7,7,0,1,1.1,images/target_cross.jpg,0.8934,,,,,,,,,,,,
anonymousity,001,2024-01-04_18h36.58.488,choiceRTT,2023.1.3,Win32,60.60606061,,0,-0.178333321,-0.255,1,0,0,2.2355,cross_button,1,0.9355,space,0,8,8,3,1,1.3,images/target_cross.jpg,0.8632,,,,,,,,,,,,
anonymousity,001,2024-01-04_18h36.58.488,choiceRTT,2023.1.3,Win32,60.60606061,,,,,,,,,,,,,,,,,,,,,,,-0.018333282,-0.251666718,1,0,0,,,,,
anonymousity,001,2024-01-04_18h36.58.488,choiceRTT,2023.1.3,Win32,60.60606061,,0,-0.175,-0.249166718,1,0,0,3.1232,cross_button,0,1.6232,,,,,,,1.5,images/target_plus.jpg,,,,,,,,,0,0,0,4,1
anonymousity,001,2024-01-04_18h36.58.488,choiceRTT,2023.1.3,Win32,60.60606061,,0,-0.185,-0.248333359,1,0,0,2.4827,cross_button,1,1.1827,,,,,,,1.3,images/target_cross.jpg,,,,,,,,,0,1,1,3,1
anonymousity,001,2024-01-04_18h36.58.488,choiceRTT,2023.1.3,Win32,60.60606061,,0,-0.1875,-0.245,1,0,0,2.0817,cross_button,1,0.5817,,,,,,,1.5,images/target_cross.jpg,,,,,,,,,0,2,2,6,1
anonymousity,001,2024-01-04_18h36.58.488,choiceRTT,2023.1.3,Win32,60.60606061,,0,0.0425,-0.249166718,1,0,0,2.8781,square_button,1,1.3781,,,,,,,1.5,images/target_square.jpg,,,,,,,,,0,3,3,2,1
anonymousity,001,2024-01-04_18h36.58.488,choiceRTT,2023.1.3,Win32,60.60606061,,0,-0.256666641,-0.248333359,1,0,0,2.3322,cross_button,1,1.2322,,,,,,,1.1,images/target_cross.jpg,,,,,,,,,0,4,4,0,1
anonymousity,001,2024-01-04_18h36.58.488,choiceRTT,2023.1.3,Win32,60.60606061,,0,-0.008333282,-0.244166718,1,0,0,2.7335,square_button,1,1.4335,,,,,,,1.3,images/target_square.jpg,,,,,,,,,0,5,5,8,1
