keyResp.keys,keyResp.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,correctMouseResp,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.rt,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
,0,-0.231770833,-0.25,1,0,0,2.7486,cross_button,1,1.6486,,0,0,0,0,1,1.1,images/target_cross.jpg,1,001,2023-05-14_19h14.54.394,choiceRTT,2021.2.3,Win32,61.62188809,,,,,,,,,,,,
,0,0.200520833,-0.2734375,1,0,0,2.4002,plus_button,1,1.3002,,0,1,1,7,1,1.1,images/target_plus.jpg,1,001,2023-05-14_19h14.54.394,choiceRTT,2021.2.3,Win32,61.62188809,,,,,,,,,,,,
,0,-0.087239583,-0.235677083,1,0,0,2.2194,square_button,1,0.9194,,0,2,2,8,1,1.3,images/target_square.jpg,1,001,2023-05-14_19h14.54.394,choiceRTT,2021.2.3,Win32,61.62188809,,,,,,,,,,,,
c,1,,,,,,,,,1.0259,,0,3,3,6,1,1.5,images/target_cross.jpg,1,001,2023-05-14_19h14.54.394,choiceRTT,2021.2.3,Win32,61.62188809,2.5259,,,,,,,,,,,
b,0,,,,,,,,,0.6424,,0,4,4,5,1,1.1,images/target_square.jpg,1,001,2023-05-14_19h14.54.394,choiceRTT,2021.2.3,Win32,61.62188809,1.7424,,,,,,,,,,,
b,1,,,,,,,,,0.8962,,0,5,5,1,1,1.3,images/target_plus.jpg,1,001,2023-05-14_19h14.54.394,choiceRTT,2021.2.3,Win32,61.62188809,2.1962,,,,,,,,,,,
v,1,,,,,,,,,0.7801,,0,6,6,2,1,1.5,images/target_square.jpg,1,001,2023-05-14_19h14.54.394,choiceRTT,2021.2.3,Win32,61.62188809,2.2801,,,,,,,,,,,
c,1,,,,,,,,,0.7512,,0,7,7,3,1,1.3,images/target_cross.jpg,1,001,2023-05-14_19h14.54.394,choiceRTT,2021.2.3,Win32,61.62188809,2.0512,,,,,,,,,,,
b,1,,,,,,,,,0.8248,,0,8,8,4,1,1.5,images/target_plus.jpg,1,001,2023-05-14_19h14.54.394,choiceRTT,2021.2.3,Win32,61.62188809,2.3248,,,,,,,,,,,
b,1,,,,,,,,,0.7271,,,,,,,1.5,images/target_plus.jpg,1,001,2023-05-14_19h14.54.394,choiceRTT,2021.2.3,Win32,61.62188809,2.2271,,-0.053385417,-0.265625,1,0,0,0,0,0,4,1
