participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,correctMouseResp,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,keyResp.rt,keyResp.duration,moveOnKeys.rt,moveOnKeys.duration,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
,001,2023-10-26_19h21.09.724,choiceRTT,2023.1.3,Win32,145.2432825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,001,2023-10-26_19h21.09.724,choiceRTT,2023.1.3,Win32,145.2432825,,0,-0.344149277,0.009350126,1,0,0,10.0518,square_button,1,8.5518,,0,0,0,2,1,1.5,images/target_square.jpg,,,,,,,,,,,,,,,
,001,2023-10-26_19h21.09.724,choiceRTT,2023.1.3,Win32,145.2432825,v,0,-0.205286092,-0.015645231,1,0,0,2.0877,,,3.4516,,0,1,1,0,1,1.1,images/target_cross.jpg,4.5516,,,,,,,,,,,,,,
,001,2023-10-26_19h21.09.724,choiceRTT,2023.1.3,Win32,145.2432825,v,0,,,,,,,,,0.6214,,0,2,2,3,1,1.3,images/target_cross.jpg,1.9214,,,,,,,,,,,,,,
,001,2023-10-26_19h21.09.724,choiceRTT,2023.1.3,Win32,145.2432825,v,0,,,,,,,,,0.3883,,0,3,3,4,1,1.5,images/target_plus.jpg,1.8883,,,,,,,,,,,,,,
,001,2023-10-26_19h21.09.724,choiceRTT,2023.1.3,Win32,145.2432825,v,0,,,,,,,,,0.3454,c,0,4,4,1,1,1.3,images/target_plus.jpg,1.6454,,0.1384,,,,,,,,,,,,
,001,2023-10-26_19h21.09.724,choiceRTT,2023.1.3,Win32,145.2432825,v,0,,,,,,,,,0.265,,0,5,5,6,1,1.5,images/target_cross.jpg,1.765,,,,,,,,,,,,,,
,001,2023-10-26_19h21.09.724,choiceRTT,2023.1.3,Win32,145.2432825,b,1,,,,,,,,,15.6741,space,0,6,6,7,1,1.1,images/target_plus.jpg,16.7741,,3.8337,,,,,,,,,,,,
,001,2023-10-26_19h21.09.724,choiceRTT,2023.1.3,Win32,145.2432825,v,1,,,,,,,,,0.8687,c,0,7,7,5,1,1.1,images/target_square.jpg,1.9687,,5.3068,,,,,,,,,,,,
,001,2023-10-26_19h21.09.724,choiceRTT,2023.1.3,Win32,145.2432825,v,1,,,,,,,,,1.1154,v,0,8,8,8,1,1.3,images/target_square.jpg,2.4154,,5.3379,,,,,,,,,,,,
,001,2023-10-26_19h21.09.724,choiceRTT,2023.1.3,Win32,145.2432825,,,,,,,,,,,,,,,,,,,,,,,,,0.054850841,-0.254489875,1,0,0,,,,,
,001,2023-10-26_19h21.09.724,choiceRTT,2023.1.3,Win32,145.2432825,v,1,,,,,,,,,0.5749,,,,,,,1.3,images/target_square.jpg,1.8749,,,,,,,,,,0,0,0,8,1
