participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,keyResp.rt,keyResp.duration,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,PracticeLoop.order,onsetTime,thisImage
,001,2024-02-08_15h48.47.703,choiceRTT,2023.1.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,
,001,2024-02-08_15h48.47.703,choiceRTT,2023.1.3,Win32,60.24096386,v,0,3.0415,,,,,,,,,1.9415,0,0,0,7,1,8,1.1,images/target_plus.jpg
