keyResp.keys,keyResp.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,correctMouseResp,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.rt
,0,0.197222222,-0.260185185,1,0,0,1.5596,plus_button,0,0.0596,,0,0,0,6,1,1.5,images/target_cross.jpg,1,001,2023-06-24_12h52.19.673,choiceRTT,2021.2.3,Win32,59.40711697,
v,1,,,,,,,,,1.0237,,0,1,1,8,1,1.3,images/target_square.jpg,1,001,2023-06-24_12h52.19.673,choiceRTT,2021.2.3,Win32,59.40711697,2.3237
