keyResp.keys,keyResp.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,correctMouseResp,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.rt,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
,0,-0.110677083,-0.028645833,1,0,0,2.902,cross_button,0,1.402,,0,0,0,4,1,1.5,images/target_plus.jpg,Viktor,001,2022-12-07_17h33.50.667,choiceRTT,2021.2.3,Win32,29.89536622,,,,,,,,,,,,
,0,0.25,-0.27734375,1,0,0,2.534,plus_button,0,1.434,,0,1,1,0,1,1.1,images/target_cross.jpg,Viktor,001,2022-12-07_17h33.50.667,choiceRTT,2021.2.3,Win32,29.89536622,,,,,,,,,,,,
,0,-0.197916667,-0.28125,1,0,0,1.817,cross_button,1,0.517,,0,2,2,3,1,1.3,images/target_cross.jpg,Viktor,001,2022-12-07_17h33.50.667,choiceRTT,2021.2.3,Win32,29.89536622,,,,,,,,,,,,
,0,0.005208333,-0.282552083,1,0,0,1.819,square_button,0,0.719,,0,3,3,7,1,1.1,images/target_plus.jpg,Viktor,001,2022-12-07_17h33.50.667,choiceRTT,2021.2.3,Win32,29.89536622,,,,,,,,,,,,
,0,0.178385417,-0.244791667,1,0,0,2.279,plus_button,0,0.979,,0,4,4,8,1,1.3,images/target_square.jpg,Viktor,001,2022-12-07_17h33.50.667,choiceRTT,2021.2.3,Win32,29.89536622,,,,,,,,,,,,
,0,-0.2265625,-0.248697917,1,0,0,2.224,cross_button,1,0.724,,0,5,5,6,1,1.5,images/target_cross.jpg,Viktor,001,2022-12-07_17h33.50.667,choiceRTT,2021.2.3,Win32,29.89536622,,,,,,,,,,,,
,0,-0.022135417,-0.30078125,1,0,0,1.862,square_button,1,0.762,,0,6,6,5,1,1.1,images/target_square.jpg,Viktor,001,2022-12-07_17h33.50.667,choiceRTT,2021.2.3,Win32,29.89536622,,,,,,,,,,,,
,0,-0.233072917,-0.252604167,1,0,0,21.656,cross_button,0,20.156,,0,7,7,2,1,1.5,images/target_square.jpg,Viktor,001,2022-12-07_17h33.50.667,choiceRTT,2021.2.3,Win32,29.89536622,,,,,,,,,,,,
v,0,,,,,,,,,0.843,,0,8,8,1,1,1.3,images/target_plus.jpg,Viktor,001,2022-12-07_17h33.50.667,choiceRTT,2021.2.3,Win32,29.89536622,2.143,,,,,,,,,,,
b,0,,,,,,,,,0.984,,,,,,,1.5,images/target_cross.jpg,Viktor,001,2022-12-07_17h33.50.667,choiceRTT,2021.2.3,Win32,29.89536622,2.484,,-0.026041667,-0.260416667,1,0,0,0,0,0,6,1
c,0,,,,,,,,,1.337,,,,,,,1.3,images/target_square.jpg,Viktor,001,2022-12-07_17h33.50.667,choiceRTT,2021.2.3,Win32,29.89536622,2.637,,,,,,,0,1,1,8,1
b,1,,,,,,,,,0.721,,,,,,,1.1,images/target_plus.jpg,Viktor,001,2022-12-07_17h33.50.667,choiceRTT,2021.2.3,Win32,29.89536622,1.821,,,,,,,0,2,2,7,1
b,0,,,,,,,,,0.843,,,,,,,1.3,images/target_cross.jpg,Viktor,001,2022-12-07_17h33.50.667,choiceRTT,2021.2.3,Win32,29.89536622,2.143,,,,,,,0,3,3,3,1
b,1,,,,,,,,,0.835,,,,,,,1.3,images/target_plus.jpg,Viktor,001,2022-12-07_17h33.50.667,choiceRTT,2021.2.3,Win32,29.89536622,2.135,,,,,,,0,4,4,1,1
v,0,,,,,,,,,0.643,,,,,,,1.5,images/target_plus.jpg,Viktor,001,2022-12-07_17h33.50.667,choiceRTT,2021.2.3,Win32,29.89536622,2.143,,,,,,,0,5,5,4,1
b,0,,,,,,,,,0.769,,,,,,,1.5,images/target_square.jpg,Viktor,001,2022-12-07_17h33.50.667,choiceRTT,2021.2.3,Win32,29.89536622,2.269,,,,,,,0,6,6,2,1
v,0,,,,,,,,,0.677,,,,,,,1.1,images/target_cross.jpg,Viktor,001,2022-12-07_17h33.50.667,choiceRTT,2021.2.3,Win32,29.89536622,1.777,,,,,,,0,7,7,0,1
v,1,,,,,,,,,1.81,,,,,,,1.1,images/target_square.jpg,Viktor,001,2022-12-07_17h33.50.667,choiceRTT,2021.2.3,Win32,29.89536622,2.91,,,,,,,0,8,8,5,1
c,0,,,,,,,,,1.095,,,,,,,1.5,images/target_plus.jpg,Viktor,001,2022-12-07_17h33.50.667,choiceRTT,2021.2.3,Win32,29.89536622,2.595,,,,,,,1,0,9,4,1
v,0,,,,,,,,,1.514,,,,,,,1.3,images/target_cross.jpg,Viktor,001,2022-12-07_17h33.50.667,choiceRTT,2021.2.3,Win32,29.89536622,2.814,,,,,,,1,1,10,3,1
b,0,,,,,,,,,1.091,,,,,,,1.1,images/target_square.jpg,Viktor,001,2022-12-07_17h33.50.667,choiceRTT,2021.2.3,Win32,29.89536622,2.191,,,,,,,1,2,11,5,1
v,1,,,,,,,,,0.629,,,,,,,1.3,images/target_square.jpg,Viktor,001,2022-12-07_17h33.50.667,choiceRTT,2021.2.3,Win32,29.89536622,1.929,,,,,,,1,3,12,8,1
c,1,,,,,,,,,0.848,,,,,,,1.1,images/target_cross.jpg,Viktor,001,2022-12-07_17h33.50.667,choiceRTT,2021.2.3,Win32,29.89536622,1.948,,,,,,,1,4,13,0,1
b,0,,,,,,,,,0.696,,,,,,,1.5,images/target_square.jpg,Viktor,001,2022-12-07_17h33.50.667,choiceRTT,2021.2.3,Win32,29.89536622,2.196,,,,,,,1,5,14,2,1
v,0,,,,,,,,,1.05,,,,,,,1.5,images/target_cross.jpg,Viktor,001,2022-12-07_17h33.50.667,choiceRTT,2021.2.3,Win32,29.89536622,2.55,,,,,,,1,6,15,6,1
b,1,,,,,,,,,1.031,,,,,,,1.1,images/target_plus.jpg,Viktor,001,2022-12-07_17h33.50.667,choiceRTT,2021.2.3,Win32,29.89536622,2.131,,,,,,,1,7,16,7,1
c,0,,,,,,,,,0.702,,,,,,,1.3,images/target_plus.jpg,Viktor,001,2022-12-07_17h33.50.667,choiceRTT,2021.2.3,Win32,29.89536622,2.002,,,,,,,1,8,17,1,1
