keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,PracticeLoop.order
c,0,2.592,,,,,,,,1.292,c,1.404,0,0,0,1,1,1.3,images/target_plus.jpg,1,001,2023-06-02_10h09.48.423,choiceRTT,2021.2.3,MacIntel,29.41176471,
c,0,1.863,,,,,,,,0.763,c,1.46,0,1,1,7,1,1.1,images/target_plus.jpg,1,001,2023-06-02_10h09.48.423,choiceRTT,2021.2.3,MacIntel,29.41176471,
v,1,1.805,,,,,,,,0.705,,,0,2,2,5,1,1.1,images/target_square.jpg,1,001,2023-06-02_10h09.48.423,choiceRTT,2021.2.3,MacIntel,29.41176471,8
